"fungi.Grass.BOGR.1" "fungi.mock2" "fungi.Ecotone.LATR.8" "fungi.SPEGAR.PLJA.4B" "fungi.SPEGAR.BOER.4A" "fungi.Ecotone.PLJA.8" "fungi.Ecotone.PLJA.1" "fungi.SPEGAR.PLJA.3A" "fungi.Grass.BOER.4" "fungi.SPEGAR.ARPU.2A" "fungi.SPEGAR.PLJA.2B" "fungi.Grass.BOER.7" "fungi.SPEGAR.BOER.1A" "fungi.SPEGAR.BOGR.3B" "fungi.Ecotone.LATR.5" "fungi.SPEGAR.BOER.2B" "fungi.Grass.PLJA.6" "fungi.Shrub.LATR.8" "fungi.SPEGAR.PLJA.1A" "fungi.SPEGAR.BOER.4B" "fungi.Grass.BOGR.7" "fungi.Ecotone.BOER.4" "fungi.Ecotone.BOER.7" "fungi.Ecotone.PLJA.5" "fungi.Ecotone.LATR.4" "fungi.SPEGAR.ARPU.1A" "fungi.SPEGAR.BOGR.2B" "fungi.SPEGAR.BOGR.1B" "fungi.SPEGAR.ARPU.1B" "fungi.Grass.PLJA.5" "fungi.Grass.PLJA.1" "fungi.Grass.BOGR.4" "fungi.SPEGAR.ARPU.4A" "fungi.Ecotone.PLJA.3" "fungi.Shrub.LATR.3" "fungi.Grass.BOGR.5" "fungi.SPEGAR.PLJA.4A" "fungi.SPEGAR.BOER.2A" "fungi.Ecotone.BOER.3" "fungi.Ecotone.BOER.8" "fungi.Ecotone.LATR.6" "fungi.Grass.BOER.6" "fungi.Grass.PLJA.2" "fungi.Shrub.LATR.7" "fungi.Shrub.LATR.5" "fungi.SPEGAR.ARPU.3B" "fungi.SPEGAR.BOER.1B" "fungi.Grass.BOER.5" "fungi.Ecotone.LATR.2" "fungi.SPEGAR.BOGR.4B" "fungi.Ecotone.LATR.3" "fungi.SPEGAR.ARPU.2B" "fungi.Shrub.LATR.6" "fungi.Ecotone.BOER.2" "fungi.Ecotone.LATR.7" "fungi.Ecotone.PLJA.7" "fungi.SPEGAR.ARPU.4B" "fungi.SPEGAR.BOGR.3A" "fungi.SPEGAR.PLJA.3B" "fungi.Grass.BOGR.3" "fungi.Shurb.LATR.2" "fungi.SPEGAR.PLJA.2A" "fungi.Shrub.LATR.4" "fungi.Ecotone.BOER.1" "fungi.Ecotone.BOER.5" "fungi.Grass.PLJA.7" "fungi.SPEGAR.BOER.3B" "fungi.Grass.BOER.2" "fungi.SPEGAR.BOGR.2A" "fungi.Grass.BOGR.8" "fungi.Grass.BOGR.6" "fungi.Ecotone.BOER.6" "fungi.Grass.PLJA.8" "fungi.SPEGAR.PLJA.1B" "fungi.Grass.BOGR.2" "fungi.mock1" "fungi.Grass.BOER.8" "fungi.Grass.PLJA.3" "fungi.SPEGAR.BOGR.4A" "fungi.Shrub.LATR.1" "fungi.SPEGAR.BOGR.1A" "fungi.Grass.BOER.3" "fungi.Ecotone.LATR.1" "fungi.Ecotone.PLJA.6" "fungi.Ecotone.PLJA.2" "fungi.Grass.BOER.1" "fungi.SPEGAR.BOER.3A" "fungi.Ecotone.PLJA.4" "fungi.Grass.PLJA.4" "fungi.SPEGAR.ARPU.3A"
"OTU23" 0 6.35833921612245 6.4001704150582 5.9530251571339 0 0 0 16.138799361834 6.69941871109543 6.01274530351238 21.2546594150707 8.3282399148933 15.4627278132749 0 6.28969783311886 0 7.25328960492381 0 18.6323369307664 0 0 7.30877973055476 0 0 6.33823005752268 6.23440486922546 0 14.3185783688117 5.95127693187423 0 0 9.92042612977141 0 5.86624572295877 6.31916063383901 0 12.0982151102567 0 0 18.2671784677908 0 0 0 0 6.10903426217446 0 0 7.77694745401949 8.01533408002176 0 0 6.35956689730562 6.82586351689248 0 17.4152004259813 0 0 7.06168316182105 13.4595026537621 6.44482667165411 7.39318725285499 16.5862855588361 7.81674671196322 0 0 0 17.7350964726868 7.49628985905514 0 6.45062633685218 0 7.21224846362995 0 0 7.7348651971881 0 0 0 6.17762291810119 0 9.30847487642059 0 0 6.17817761381124 0 0 17.5846927387923 0 6.75473397156061 0
"OTU526" 14.4757790488258 0 13.5157966160276 6.92983196728313 6.25920639734346 13.6021675210696 6.04373896592715 0 7.68557042913779 10.8272774540836 8.34311148069713 16.8789681209466 0 14.5723721644735 0 8.93547251739911 15.3200792287636 0 10.4232389187061 0 12.1700318271633 10.6498717311383 17.6344306832532 0 0 9.52168115017615 0 9.57116697035918 11.4288718935262 11.7897931287243 0 0 0 6.84162095233367 0 0 14.0832236285575 7.71424497725371 13.3845790026366 14.681866393728 10.0883415007599 0 15.67614607904 7.4270294413791 12.5592572285295 0 5.29663691018963 7.77694745401949 13.6482415171257 0 16.9804316432706 6.35956689730562 0 0 11.3253140677185 18.5521818268171 15.5652096031395 8.05090415986979 11.474200069819 0 0 0 0 6.40545355062865 16.4403098696459 12.6177209874853 9.48130657613232 13.7933509115982 8.36882600223937 11.1735839847902 16.0073553464434 17.3924135296953 9.49323210881618 10.8398584369076 0 6.82458717622138 13.9185163186914 9.15762226557734 0 11.4585700762499 6.33976652714161 12.7686622233904 0 6.17817761381124 12.3181170186265 16.199448356832 0 0 0 9.79091669772886
"OTU1" 11.455200515439 7.91985670571796 6.4001704150582 15.6693365332059 9.68422928941451 6.83720440873876 6.04373896592715 8.3884930768795 6.69941871109543 17.6836836486926 11.5830805037359 0 19.995562663604 18.6581797271414 6.28969783311886 6.1627759122805 11.2355118744317 6.5340351443253 17.3297613939746 13.676127754393 14.2892889956624 11.8762534363664 14.7214758548978 15.057467515116 13.8339247831775 6.23440486922546 12.0867886147522 11.4334852029339 11.8119563892923 15.3695490884061 0 7.130754844763 19.4583344524816 7.82906966595435 18.8682338913807 15.9414675076577 18.0835230972767 13.181909402208 7.39033198758378 0 8.77037718325239 8.27310411369862 15.3496005335372 7.4270294413791 7.66612953684629 13.4784148222527 19.6765791792751 8.77037718325239 9.00976353560965 19.6354028907512 10.3657855059718 7.9211043281656 5.8507529690338 13.642260449058 16.4580771822741 7.84677367634458 15.5851772013448 20.0679119155614 13.1824472994209 11.1132554781207 10.0790798258728 15.6356158322705 7.81674671196322 7.38848486792196 0 13.2087611069253 12.6764875172259 14.5518472150962 18.1471805925122 13.14568590653 11.5688398508768 8.78423897795667 17.9141034699189 20.86280401134 15.5222495455453 0 7.03354783048812 12.0277258118142 7.15776158264368 15.6389309538839 16.5625164701787 12.5928659780398 6.73128016017099 12.6776528931533 10.213068626172 19.0145873960191 11.7840420460208 20.5933338757347 18.2543985367803 15.4024341198352
"OTU935" 0 0 0 0 0 0 12.8329516900267 0 0 0 14.11573460874 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10.3747940766432 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU50" 6.83568910236643 0 0 6.92983196728313 0 5.30102762487018 0 6.10030745222415 0 0 0 0 0 0 19.6123310434305 0 0 0 0 0 0 5.36157048440135 0 6.29350450232485 0 6.23440486922546 0 0 0 6.48159867275275 0 0 0 0 6.31916063383901 0 6.48607030983443 0 0 6.64993723138553 0 0 9.65729865945172 0 0 0 0 0 0 0 8.56387779110998 0 0 0 0 0 0 0 0 0 6.41010151851891 7.66679995971944 0 6.40545355062865 10.8548709725455 0 0 0 0 0 0 0 0 6.02495750402779 7.7348651971881 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"OTU218" 12.9805985044816 6.35833921612245 0 0 0 0 0 0 13.3300121949379 0 9.65970997836633 14.0382381948331 0 12.5987141442777 0 15.0938443235218 0 0 0 0 0 12.3245089042915 13.2567778052266 14.574013914837 0 13.7038357911737 0 0 0 10.8769275833527 0 11.7547833866444 9.96450869446262 13.1653951487211 0 14.1674209462754 0 14.1655152755624 15.4659028279412 0 0 13.701383719318 14.817053468295 0 0 6.62490352328453 9.98002241391514 0 0 16.2071448609067 0 0 0 0 0 6.28645390550498 13.2585186105527 14.5399703094126 0 14.1121156205073 6.41010151851891 0 0 0 6.96953746563525 14.6904344610745 8.02890393473781 13.9233939332337 0 15.1283340402134 11.3319701917461 0 0 0 14.2132933405095 0 9.01701421201949 6.59755296588619 12.5473564175628 0 15.5328001800692 13.0077867237362 6.73128016017099 0 0 8.40381092288945 0 14.6187223854095 14.6880013182332 0
"OTU117" 0 0 14.3084598591211 14.3408360819124 14.2712828084829 0 15.4196921972567 0 14.446436798252 0 0 11.0575681202179 0 0 13.6015381778786 0 16.003645743074 10.7523305964181 0 0 0 0 14.5542834787926 0 13.2913182397287 6.23440486922546 8.05261899813579 0 0 0 0 0 0 13.9354781517659 0 0 12.0393488345728 0 13.8968330601655 14.7086312853547 14.5320679082302 14.0540083645099 14.2488179624729 12.836873069998 0 0 0 13.2070104409528 0 8.58237586327328 0 11.7173870382904 6.82586351689248 0 11.2429180243879 15.5254354377847 7.41717430152745 0 10.3599049503781 11.4999722176369 0 0 16.1123003850328 6.40545355062865 0 13.6453212763644 10.4792888380532 0 14.7438937828857 0 0 17.7377020478705 0 0 0 0 0 0 0 9.65377397200986 10.6979755427429 0 15.511410902161 13.5812325719245 15.2449809222796 0 0 12.5627021909989 0 0
"OTU69" 0 0 0 14.4836235783116 0 11.2053981549784 12.459610111467 13.2676877971407 0 0 7.35192918422794 6.76101272411411 11.6966304677545 15.8418801056114 0 14.0352794559985 7.25328960492381 17.2930963133052 14.8992785307575 14.2244234015947 0 0 0 6.29350450232485 10.8274959410533 11.0045845772516 13.1505728930419 12.9303111135001 12.226793295527 0 0 7.130754844763 12.5470639743832 0 16.1423704869332 0 14.5518529830222 10.7022046093789 0 10.7102462973051 0 0 0 15.8196547296859 14.032882454166 10.298251090115 5.29663691018963 0 0 12.3195641340103 7.57145251905524 10.7182432818772 14.2761956049982 0 15.154343506033 12.6247461769479 9.72558137620557 14.9826069236452 15.88653576394 0 13.4096595718523 0 15.0519330806324 12.2297944212515 0 0 10.4122708209466 0 14.9376051050261 0 6.55436075208298 0 6.9280557365178 0 7.7348651971881 0 7.03354783048812 0 7.15776158264368 0 15.0820809400712 0 0 9.94833055558817 12.1832428225136 0 6.68217601582193 0 0 14.2472376508884
"OTU90" 0 0 0 0 0 0 0 0 6.69941871109543 0 0 0 0 0 0 0 0 0 19.9958682377628 0 0 0 6.69941871109543 0 0 0 0 0 5.95127693187423 0 0 0 0 0 6.31916063383901 0 0 6.15625246274251 0 0 0 0 0 0 0 0 0 0 0 6.2900219686365 0 0 0 0 0 0 0 0 0 0 0 0 7.81674671196322 0 0 0 0 0 0 0 0 0 0 16.899189576504 0 0 0 0 0 0 7.32200987475021 0 6.73128016017099 0 0 0 0 0 0 0
"OTU13" 6.83568910236643 0 0 5.9530251571339 0 0 19.0601985356359 0 0 0 7.35192918422794 6.76101272411411 6.76815884696588 0 20.782437023295 6.1627759122805 7.25328960492381 0 0 6.27868531707243 0 0 0 0 0 6.23440486922546 0 5.81184387703017 5.95127693187423 5.51301624850682 0 0 0 0 0 0 0 0 6.40727927446916 0 0 0 6.11081652829932 0 7.08820945307316 0 0 0 0 0 0 0 0 0 0 7.26803099135851 0 0 0 6.44482667165411 6.41010151851891 0 7.81674671196322 0 0 0 6.06136866762079 0 0 0 0 7.21224846362995 6.9280557365178 7.5803806325276 0 0 0 0 6.17762291810119 7.08653544982145 0 0 16.6258636740749 6.17817761381124 6.54134325630244 0 0 0 0 0
