	Domain	Phylum	Class	Order	Family	Genus	Species
OTU2025	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Diversisporales	f:Diversisporaceae	g:Diversispora	s:Tilletiopsis_lilacina_SH186667.07FU
OTU2026	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Trichomeriaceae	g:Arthrocladium	s:Arthrocladium_caudatum_SH492534.07FU
OTU2027	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	s:Mortierella_hyalina_SH180113.07FU
OTU2029	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Inocybe	s:Postia_pelliculosa_SH189193.07FU
OTU2030	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	s:Penicillium_christenseniae_SH194607.07FU
OTU2031	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Ascobolaceae	g:Ascobolus	s:Ascobolus_immersus_SH020609.07FU
OTU2032	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Tricholomataceae	g:Tricholoma	s:Tricholoma_moseri_SH219378.07FU
OTU2033	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Geastrales	f:Geastraceae	g:Geastrum	s:Geastrum_lageniforme_SH205321.07FU
OTU2034	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymellaceae	g:Phoma	s:Phoma_aloes_SH087322.07FU
OTU2035	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Russulales	f:Russulaceae	g:Russula	s:Spizellomyces_acuminatus_SH183654.07FU
OTU2037	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	s:Genolevuria_amylolytica_SH213903.07FU
OTU2038	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Aspergillus	s:Aspergillus_niger_SH528219.07FU
OTU2039	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Cryptococcus	UNKNOWN
OTU2040	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Helotiales_fam_Incertae_sedis	g:Chalara	UNKNOWN
OTU2041	d:Fungi	p:Ascomycota	c:Lecanoromycetes	o:Lecanorales	f:Ramalinaceae	g:Toninia	s:Toninia_physaroides_SH526329.07FU
OTU2042	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Corticiales	f:Corticiaceae	g:Laetisaria	s:Laetisaria_fuciformis_SH002042.07FU
OTU2043	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Aplosporellaceae	g:Aplosporella	s:Aplosporella_africana_SH193867.07FU
OTU2044	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinopsis	s:Coprinopsis_brunneofibrillosa_SH219024.07FU
OTU2045	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Boletaceae	g:Entoloma	s:Entoloma_sphagneti_SH174929.07FU
OTU2046	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Leptosphaeriaceae	g:Pyrenochaeta	s:Subplenodomus_apiicola_SH207666.07FU
OTU2047	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Pleosporaceae	g:Comoclathris	s:Comoclathris_spartii_SH487979.07FU
OTU2048	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Spizellomycetales	f:Spizellomycetaceae	g:Spizellomyces	s:Spizellomyces_acuminatus_SH183654.07FU
OTU2049	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Chaetomium	s:Chaetomium_grande_SH195335.07FU
OTU2050	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Hypocreales	f:Cordycipitaceae	g:Beauveria	s:Beauveria_bassiana_SH640198.07FU
