"","OTU","OTU_sum","Domain","Phylum","Class","Order","Family","Genus","Species"
"598","OTU180",383.875571218436,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN"
"2391","OTU61",376.63929845377,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"576","OTU177",376.426781990419,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","g:Mortierella","UNKNOWN"
"1538","OTU35",374.257979206485,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"431","OTU157",371.670374985116,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"871","OTU222",363.651701621704,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"906","OTU228",361.966084387615,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"631","OTU185",359.093499765818,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"1294","OTU3",357.682827341085,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","f:Xylariaceae","g:Hypoxylon","UNKNOWN"
"841","OTU218",350.582819764444,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN"
"214","OTU126",349.105932272171,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN"
"1078","OTU2566",348.926433919112,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN"
"2044","OTU45",348.309211377567,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN"
"1321","OTU305",344.31414058087,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN"
"2558","OTU783",335.317066784271,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"470","OTU162",333.659995287211,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"2234","OTU49",327.802390358533,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","g:Curvularia","s:Curvularia_spicifera_SH093124.07FU"
"705","OTU196",324.060239519996,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","UNKNOWN","UNKNOWN","UNKNOWN"
"155","OTU119",321.264808850913,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
"498","OTU166",320.889329628179,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN"
