"","Row.names","NMDS1","NMDS2","Domain","Phylum","Class","Order","Family","Genus","Species"
"803","OTU2166",-0.07963221998866,3.86037397463533e-05,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
"804","OTU2169",-0.182389811301379,-0.131320772220399,"Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae","Thanatephorus","unk"
"805","OTU217",0.0818427732775078,-0.160544731098193,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk"
"806","OTU2170",0.568999604823121,0.445237185344764,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","dummy_family_Acremonium","Acremonium","unk"
"807","OTU2172",-0.0303039103342777,-0.0570152551634663,"Fungi","Basidiomycota","Agaricomycetes","Corticiales","Corticiaceae","Corticium","unk"
"808","OTU2175",-0.00585099580410163,-0.109464495455452,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"809","OTU2176",-0.122468878859213,0.00904074985484593,"Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Anthracocystis","Anthracocystis_ovaria"
"810","OTU2177",-0.0213678235064129,0.235431464437376,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"811","OTU218",0.00493906982455961,0.24005303499576,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk"
"812","OTU2181",-0.532553715986619,-0.0329786522059789,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","unk"
"813","OTU2182",-0.0671936052298951,-0.0505082784075883,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Pseudocercospora","unk"
"814","OTU2186",0.173162462871341,0.113530156868996,"Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Stigmina","unk"
"815","OTU2189",0.159335335606696,-0.0201821108858183,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Phomopsis","Phomopsis_velata"
"816","OTU219",0.056407035929375,-0.00310209515682674,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unk"
"817","OTU2190",-0.0671090646073229,-0.171478393818399,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Leptosphaeriaceae","Leptosphaeria","unk"
"818","OTU2191",0.169374257090586,-0.312545077137322,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Gymnoascus","unk"
"819","OTU2196",0.221364175685859,-0.157436840591414,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"820","OTU2197",-0.13959916085398,-0.00544141618124844,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","unk"
"821","OTU2198",-0.110591287069669,0.0935535659705864,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"822","OTU2199",-0.0280291173440267,-0.0599544131160953,"Fungi","Zygomycota","dummy_class_Mortierellales","Mortierellales","Mortierellaceae","Mortierella","unk"
"823","OTU22",0.0211923997427783,-0.166012714827319,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pezizaceae","Kalaharituber","unk"
"824","OTU220",0.360228940811509,-0.151874450788154,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"825","OTU2202",-0.0415440118350938,-0.0127132243164982,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","Exophiala_crusticola"
"826","OTU2203",-0.164121765872857,-0.200402437993194,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk"
"827","OTU2204",0.558393824246627,-0.516698272740902,"Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Wardomycopsis","Wardomycopsis_inopinata"
"828","OTU2205",0.21033822355484,-0.152601754918069,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unk"
"829","OTU221",-0.161549881857607,0.235024808988455,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lophiostomataceae","Lophiostoma","unk"
"830","OTU2215",0.673331366904731,0.481062115131754,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"831","OTU2216",-0.164600427471664,0.122325267314158,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","unk"
"832","OTU2218",-0.139078229239286,-0.00557586108195688,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","unk"
"833","OTU2219",0.44253519888079,0.393293717920668,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
"834","OTU222",0.237136213317764,0.147431056505419,"Fungi","Ascomycota","Dothideomycetes","dummy_order_Pseudoperisporiaceae","Pseudoperisporiaceae","Bryochiton","unk"
"835","OTU2220",0.374843663203291,0.174337135739111,"Fungi","Glomeromycota","Glomeromycetes","Diversisporales","Diversisporaceae","Redeckera","Redeckera_megalocarpum"
"836","OTU2222",0.0731951178123245,0.231329568911231,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Hendersonia","unk"
"837","OTU2227",-0.12905628778445,0.0546685765585631,"Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Tranzscheliella","unk"
"838","OTU2229",-0.203453391840831,0.00216754249718234,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"839","OTU223",0.163445492953765,-0.415019606593532,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk"
"840","OTU2230",0.224458385082641,-0.158793709127296,"Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","Tricladium","unk"
"841","OTU2231",-0.00370990512373404,-0.111522291953718,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","unk"
"842","OTU2233",-0.159514770820243,-0.0484306674301104,"Fungi","Ascomycota","Sordariomycetes","Diaporthales","Valsaceae","Valsa","Valsa_sordida"
"843","OTU2235",-0.0167353868513783,0.0164625777514221,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"844","OTU2236",0.173376066463437,-0.316897425516282,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
"845","OTU2238",0.121072688750321,0.396274295707026,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Curvularia","unk"
"846","OTU224",-0.00612766784011908,0.0345706827196777,"Fungi","Ascomycota","Eurotiomycetes","Onygenales","Gymnoascaceae","Arachniotus","unk"
"847","OTU2240",-0.107162892819964,0.177586352749926,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"848","OTU2241",-0.00593092145782623,0.0620211329399315,"Fungi","Ascomycota","Lecanoromycetes","Umbilicariales","Umbilicariaceae","Umbilicaria","unk"
"849","OTU2242",0.754820361592705,0.416277982817144,"Fungi","Basidiomycota","Agaricomycetes","Russulales","Peniophoraceae","Peniophora","unk"
"850","OTU2243",0.754820361592705,0.416277982817144,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"851","OTU2244",-0.340546929737283,-0.0267403884713696,"Fungi","Basidiomycota","unk","unk","unk","unk","unk"
