"","OTU","fungi.Grass.BOGR.1","fungi.Ecotone.LATR.8","fungi.Ecotone.PLJA.8","fungi.Ecotone.PLJA.1","fungi.Grass.BOER.4","fungi.Grass.BOER.7","fungi.Ecotone.LATR.5","fungi.Grass.PLJA.6","fungi.Shrub.LATR.8","fungi.Grass.BOGR.7","fungi.Ecotone.BOER.4","fungi.Ecotone.BOER.7","fungi.Ecotone.PLJA.5","fungi.Ecotone.LATR.4","fungi.Grass.PLJA.5","fungi.Grass.PLJA.1","fungi.Grass.BOGR.4","fungi.Ecotone.PLJA.3","fungi.Shrub.LATR.3","fungi.Grass.BOGR.5","fungi.Ecotone.BOER.3","fungi.Ecotone.BOER.8","fungi.Ecotone.LATR.6","fungi.Grass.BOER.6","fungi.Grass.PLJA.2","fungi.Shrub.LATR.7","fungi.Shrub.LATR.5","fungi.Grass.BOER.5","fungi.Ecotone.LATR.2","fungi.Ecotone.LATR.3","fungi.Shrub.LATR.6","fungi.Ecotone.BOER.2","fungi.Ecotone.LATR.7","fungi.Ecotone.PLJA.7","fungi.Grass.BOGR.3","fungi.Shrub.LATR.2","fungi.Shrub.LATR.4","fungi.Ecotone.BOER.1","fungi.Ecotone.BOER.5","fungi.Grass.PLJA.7","fungi.Grass.BOER.2","fungi.Grass.BOGR.8","fungi.Grass.BOGR.6","fungi.Ecotone.BOER.6","fungi.Grass.PLJA.8","fungi.Grass.BOGR.2","fungi.Grass.BOER.8","fungi.Grass.PLJA.3","fungi.Shrub.LATR.1","fungi.Grass.BOER.3","fungi.Ecotone.LATR.1","fungi.Ecotone.PLJA.6","fungi.Ecotone.PLJA.2","fungi.Grass.BOER.1","fungi.Ecotone.PLJA.4","fungi.Grass.PLJA.4"
"32","OTU130",3.351168538,4.454772672,4.640283548,6.507799218,0,0,5.932433577,2.900189257,0,8.489779466,0,6.201943275,0,5.81421993,0,0,3.244720692,0,0,0,0,0,6.740837041,0,5.684814579,0,0,6.592452365,2.71444717,0,0,6.431816995,0,5.015851133,0,3.429846936,5.465926747,0,5.318024113,4.901735092,2.3582801,7.320436515,0,0,5.674148629,0,5.634735107,0,0,5.211629521,2.889604284,8.729566853,0,0,0,6.759024749
"33","OTU202",0,2.338608351,2.075283473,0,0,0,0,0,0,0,0,2.508322536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.71444717,0,0,0,0,0,0,0,0,0,0,2.445973725,0,0,0,0,0,0,2.570373376,0,0,0,0,0,0,0,0,0
"34","OTU2",13.17373021,15.86115239,14.61986581,12.85572992,20.56762018,10.11260575,11.06588154,20.63318904,3.382005453,12.13391274,13.74268379,13.29490808,14.28771806,7.803884309,10.88725814,2.972421889,15.59872639,10.90706882,9.457776702,15.2759122,16.34581691,15.82066181,9.298885286,14.47678359,3.330831483,11.54529576,9.20236324,16.2108753,10.70323616,11.95997431,6.964441314,4.892890405,8.593395608,14.7321858,14.49852173,9.575265229,8.035010474,18.71154304,21.15408314,13.70933806,14.71453993,11.36368023,12.07445868,4.88044197,21.28903226,14.46913194,13.90785074,9.315395134,13.64387379,15.37240276,6.766917678,15.05489968,16.45892873,15.84058927,5.773797892,20.601345
"35","OTU26",4.037134573,7.890705888,7.873310065,9.231170188,7.220780177,0,5.019766073,2.900189257,4.288592726,8.690952709,1.900203627,5.227775108,8.832531235,0,7.361541869,9.890469008,8.264317118,10.65572729,2.398681599,7.768955923,11.6593282,16.89054576,6.457164483,2.602132466,6.079751979,0,2.443189063,6.986077091,4.344746406,0,0,7.562403469,9.875376134,10.71570464,5.002106821,2.44272663,5.146942476,5.919582039,11.88457075,0,8.380180868,2.646548042,6.814818397,12.28224211,5.899533609,10.41929952,6.527516335,0,2.695481347,7.230669809,3.726024972,6.795951478,10.89567393,0,11.58465501,0
"36","OTU310",0,0,0,0,0,5.527839357,4.987186337,0,0,0,6.035245461,9.182168072,6.676306532,0,4.193604309,0,0,6.062690362,0,0,0,7.821234775,0,0,0,2.645475258,2.443189063,0,0,0,0,0,2.806714943,5.801717232,5.530670847,0,0,8.047992372,0,0,5.581753291,0,0,5.194607024,4.68646563,0,5.814731263,0,0,0,0,4.627917985,2.553508656,0,0,0
"37","OTU17",0,10.58678113,4.400402006,4.619931555,0,2.757984061,11.15617371,3.536173412,15.93967413,0,4.404252065,5.15472303,0,10.67391066,2.048389678,2.972421889,3.791541975,6.516214052,17.61262983,0,8.306940003,10.77172613,9.456795776,0,0,14.03344071,9.288164884,0,5.891185014,12.27129327,12.91936033,6.223583741,11.06043511,4.804046874,0,9.322314828,8.232635719,4.99173189,0,2.91706069,2.821243559,0,0,2.7839874,0,0,0,0,11.63055703,0,7.824918104,2.350999116,6.3928236,3.587341704,4.684902672,0
"38","OTU146",0,0,0,0,12.20143781,0,0,0,0,0,0,0,0,0,0,0,10.33661164,2.311343213,0,12.00124043,0,0,2.886118151,0,0,0,0,0,0,0,0,0,0,0,2.577953089,0,0,0,0,0,0,0,3.596850772,0,0,0,0,0,0,0,0,3.103909712,0,3.587341704,0,0
"39","OTU945",0,0,4.029050526,0,0,0,0,0,0,0,0,0,3.859365883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.198192248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.434436803,0,0,0,0,0,0,0,0,4.02244523,0,0,5.164081099
"40","OTU114",0,0,0,0,0,0,0,0,9.494810201,7.356540939,1.900203627,0,0,0,2.048389678,0,0,0,7.10721018,0,0,0,6.572463954,6.526035966,0,2.645475258,9.507820731,0,0,0,0,7.216446887,0,0,0,0,0,0,4.692623085,2.445973725,0,0,6.82703278,0,0,0,0,0,8.988801049,2.795951699,0,0,0,0,4.903318691,0
"41","OTU2293",0,0,0,0,0,0,7.503294938,2.173999356,0,0,0,0,0,7.04101842,0,0,0,9.620472074,0,0,0,0,0,0,0,0,0,0,0,0,2.198435809,2.502174432,4.209908988,5.698217569,0,2.913509397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.013679538,0,6.454193785,0
