OTU ID	fungi.Grass.BOGR.1	fungi.mock2	fungi.Ecotone.LATR.8	fungi.SPEGAR.PLJA.4B	fungi.Ecotone.PLJA.8	fungi.SPEGAR.BOER.4A	fungi.Ecotone.PLJA.1	fungi.SPEGAR.PLJA.3A	fungi.Grass.BOER.4	fungi.SPEGAR.ARPU.2A	fungi.Grass.BOER.7	fungi.SPEGAR.BOGR.3B	fungi.SPEGAR.BOER.1A	fungi.SPEGAR.PLJA.2B	fungi.SPEGAR.BOER.2B	fungi.Grass.PLJA.6	fungi.Ecotone.LATR.5	fungi.Shrub.LATR.8	fungi.SPEGAR.BOER.4B	fungi.Grass.BOGR.7	fungi.Ecotone.BOER.7	fungi.SPEGAR.PLJA.1A	fungi.Ecotone.PLJA.5	fungi.SPEGAR.ARPU.1A	fungi.SPEGAR.BOGR.2B	fungi.Ecotone.BOER.4	fungi.SPEGAR.BOGR.1B	fungi.SPEGAR.ARPU.1B	fungi.Ecotone.LATR.4	fungi.Grass.PLJA.1	fungi.SPEGAR.ARPU.4A	fungi.Grass.PLJA.5	fungi.Grass.BOGR.4	fungi.Ecotone.PLJA.3	fungi.Grass.BOGR.5	fungi.Shrub.LATR.3	fungi.SPEGAR.BOER.2A	fungi.SPEGAR.PLJA.4A	fungi.Ecotone.BOER.8	fungi.Ecotone.LATR.6	fungi.Ecotone.BOER.3	fungi.Grass.BOER.6	fungi.Grass.PLJA.2	fungi.Shrub.LATR.7	fungi.Shrub.LATR.5	fungi.SPEGAR.BOER.1B	fungi.SPEGAR.ARPU.3B	fungi.Grass.BOER.5	fungi.SPEGAR.BOGR.4B	fungi.SPEGAR.ARPU.2B	fungi.Ecotone.LATR.2	fungi.Shrub.LATR.6	fungi.Ecotone.LATR.3	fungi.Ecotone.LATR.7	fungi.Ecotone.PLJA.7	fungi.SPEGAR.BOGR.3A	fungi.SPEGAR.ARPU.4B	fungi.Ecotone.BOER.2	fungi.SPEGAR.PLJA.3B	fungi.Grass.BOGR.3	fungi.Shurb.LATR.2	fungi.Shrub.LATR.4	fungi.SPEGAR.PLJA.2A	fungi.Ecotone.BOER.1	fungi.Ecotone.BOER.5	fungi.Grass.PLJA.7	fungi.Grass.BOER.2	fungi.SPEGAR.BOGR.2A	fungi.Grass.BOGR.8	fungi.Grass.BOGR.6	fungi.SPEGAR.BOER.3B	fungi.Ecotone.BOER.6	fungi.Grass.PLJA.8	fungi.SPEGAR.PLJA.1B	fungi.Grass.BOGR.2	fungi.mock1	fungi.Grass.BOER.8	fungi.Grass.PLJA.3	fungi.SPEGAR.BOGR.4A	fungi.Shrub.LATR.1	fungi.SPEGAR.BOGR.1A	fungi.Grass.BOER.3	fungi.Ecotone.LATR.1	fungi.Ecotone.PLJA.6	fungi.Ecotone.PLJA.2	fungi.Grass.BOER.1	fungi.SPEGAR.BOER.3A	fungi.Ecotone.PLJA.4	fungi.Grass.PLJA.4	fungi.SPEGAR.ARPU.3A	taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
OTU10	63	25	0	80	86	1842	95	515	90	3026	561	38	49	212	1	2	21	46	19	31	2	494	650	89	152	57	13	73	60	325	1	650	106	65	102	1043	464	853	1063	10607	761	108	292	183	9	84	394	4572	11	7	242	2100	584	7	270	99	245	477	48	639	22	1229	320	1125	255	33	432	3	175	20	250	9	188	929	0	4	19	237	93	664	205	126	139	303	108	1101	127	410	32	2	"d:Fungi,p:Basidiomycota,c:Malasseziomycetes,o:Malasseziales,f:Malasseziaceae"	-	-	-	-	-	-	-	Unassigned	-
OTU28	452	0	1698	2	1	0	2341	470	77	1	49	0	1	0	0	1612	203	0	0	48	0	0	0	0	1	10465	0	0	1	2763	0	12	354	407	4488	0	0	0	20	0	1	865	1	0	0	1	1	0	5	0	0	0	0	0	0	0	1	1	0	1565	0	0	2677	1357	0	1239	19	100	2937	488	0	0	545	0	0	0	226	224	0	46	0	292	16	177	5	0	0	3	958	0	"d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"	-	-	-	-	-	-	-	Unassigned	-
OTU11	0	1	1	4	1	9	2734	3	0	1	1	4280	3	0	0	0	2241	1	0	1	33	0	3	1	0	3	1	0	2965	242	0	0	1	2230	0	1	0	0	1434	691	3245	0	0	4453	1	1	0	0	2	0	0	2024	1	626	2483	0	0	1815	0	1	7	16	0	0	1159	2	1	1	46	52	0	1312	1	0	0	0	1	0	0	0	15	4	599	5	95	0	8	2342	1	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Cantharellales,f:Ceratobasidiaceae"	-	-	-	-	-	-	-	Unassigned	-
OTU22	2	0	4863	0	832	0	343	64	1	1	19	503	101	1791	1318	16	229	14	0	155	29	535	0	11	597	353	176	1	187	0	93	2	9	230	42	42	1090	1	88	272	3974	0	0	0	0	123	0	0	741	0	0	1	192	69	765	2194	121	2610	413	0	1169	0	5956	107	542	156	1	27	0	0	90	1	110	783	0	1	0	0	185	267	53	0	680	37	109	0	35	208	24	0	d:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU1357	0	0	0	99	2	352	1	73	0	2962	0	101	3	0	0	810	0	0	7941	0	0	5	2	0	1159	1	1715	0	0	0	1	6	0	0	70	0	16	12	1	0	0	0	0	0	0	309	30	0	273	1	69	0	101	3	0	536	19	0	94	812	0	0	97	0	0	8	6852	991	948	1272	304	0	10	3	4	0	0	2374	0	0	32	2304	8	0	1	895	100	0	22	873	"d:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus"	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'
OTU13	1	0	0	1	0	0	8543	0	0	0	1	0	2	1	1	3	23655	0	1	0	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	3	0	0	0	0	1	1	0	0	970	1	1	0	0	0	0	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Polyporales,f:Meruliaceae,g:Rhizochaete,s:Rhizochaete_fouquieriae_SH1514947.08FU"	Rhizochaete	13	Saprotroph	Undefined Saprotroph	Corticioid	White Rot	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:1256688'
OTU23	0	1	1	1	0	0	0	1083	1	1	3	0	844	15505	0	3	1	0	0	0	0	4149	0	1	0	4	377	1	1	0	0	0	7	1	0	1	0	50	3205	0	0	0	0	0	1	0	0	2	0	1	2	2	0	1227	0	1	0	0	103	1	2	1	978	0	0	0	2	0	1	0	3367	1	0	0	1	0	0	0	1	0	8	0	0	1	0	0	1952	0	1	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae"	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford'
OTU1539	0	0	2	3	0	4	0	2	0	34	0	4369	2	0	1	11	0	0	112	0	0	0	0	0	14	0	23	1	1	0	1	0	0	0	1	0	397	0	0	0	0	0	0	0	1	7310	1	0	30	0	2	0	1	0	0	5	3339	0	17	15	0	0	3020	0	0	0	84	274	14	13	6762	1	1	0	188	0	0	41	0	0	312	29	1	1	0	11	2712	2	1	12	"d:Fungi,p:Ascomycota,c:Pezizomycetes,o:Pezizales,f:Ascobolaceae,g:Ascobolus"	Ascobolaceae	9	Saprotroph	Dung Saprotroph-Soil Saprotroph-Wood Saprotrop	NULL	NULL	Probable	NULL	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'
OTU14	0	0	0	0	1	0	1	0	1	2	0	1815	877	2048	2	2	1	0	0	0	2	10	2	0	2	2	2	3	1	0	850	2	1	0	0	1	1	0	0	1	0	0	1	1	0	1647	0	27	524	1	0	0	1	0	0	8998	1180	0	0	0	1	0	4411	0	0	0	0	0	2	51	2457	0	0	1	1	0	0	0	2514	0	2	0	0	1	0	1	1445	0	2	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes"	-	-	-	-	-	-	-	Unassigned	-
OTU17	0	2	1295	1	23	0	21	4	0	0	1	0	2	0	1	7	1649	4133	0	0	26	0	0	0	0	31	0	0	1358	1	2	1	4	124	0	7651	0	0	808	346	345	0	0	2459	612	2	0	0	1	0	39	3618	1120	772	24	0	0	72	0	0	623	192	0	21	0	2	2	0	0	0	0	1	0	0	0	0	0	0	0	1116	1	0	137	1	77	2	9	19	0	0	d:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU38	151	0	206	47	900	496	146	0	0	50	458	617	95	23	530	8	176	80	3204	109	154	2543	485	325	0	104	56	1965	1	0	239	867	45	2	35	1245	320	0	473	0	0	118	1043	0	0	2	100	0	48	2139	7	1323	0	28	460	195	724	0	49	326	0	0	0	245	132	51	818	420	0	650	488	80	122	2	0	0	961	197	0	191	127	81	8	68	1	1	96	52	942	16	"d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"	-	-	-	-	-	-	-	Unassigned	-
OTU26	7	0	325	743	491	15	765	152	156	282	0	0	829	2	0	3	30	9	0	204	28	0	566	262	0	1	427	790	0	376	1	363	222	1390	179	1	0	231	4263	50	1589	1	79	0	1	0	1848	105	0	1968	8	0	0	472	1397	0	0	203	47	20	1	16	30	52	1208	0	426	101	1	104	0	1219	37	0	380	0	84	0	0	1	58	104	3	146	1052	0	1	1740	0	746	d:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU16	3	0	0	0	0	294	0	1	0	0	0	1	3	0	1	0	1	0	1498	5	0	0	27	0	1	1	0	0	0	0	0	5679	0	222	0	0	0	0	0	1	346	0	0	0	0	1	78	1	0	5	0	3	33	0	0	0	12	0	0	1	4	0	0	0	830	0	0	759	271	0	2	87	5401	2	0	0	1	0	0	0	21	1	0	32	2	0	0	9783	0	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales"	-	-	-	-	-	-	-	Unassigned	-
OTU27	0	0	0	37	1	0	1947	1	1	1	1	0	3	0	0	70	1	1078	0	0	3	0	0	1	0	1	0	1	0	0	2	0	0	0	0	3162	1	2	1	1	1661	0	0	402	0	0	7	0	1	1	4563	1	0	6580	0	0	0	0	0	1	5428	0	0	1	0	0	0	0	0	0	3	0	0	1	0	0	1	0	1	323	0	0	0	0	0	0	52	1	0	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae,g:Coprinus"	Agaricaceae	9	Saprotroph	Undefined Saprotroph	Agaricoid-Gasteroid-Secotioid	NULL	Probable	Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'
OTU18	104	0	167	178	1562	26	126	137	1	0	472	636	105	78	187	92	294	101	393	24	710	261	20	572	485	361	503	935	36	0	23	1200	31	709	298	130	49	37	354	0	327	71	359	0	70	37	253	368	2506	170	76	0	382	617	904	99	337	380	313	236	31	1	0	225	71	10	633	429	214	225	158	482	0	137	284	0	459	133	193	90	360	89	3	928	65	0	211	142	258	132	d:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU20	96	0	0	479	158	139	64	224	44	1279	422	389	354	12	309	58	66	119	269	0	1125	291	308	844	598	600	194	1055	0	0	1	174	62	224	51	97	234	110	114	0	0	379	228	0	18	101	1517	124	75	2593	13	0	192	4	220	134	313	1	157	0	66	0	0	90	67	13	1441	1285	463	139	418	199	0	219	285	0	41	445	73	14	631	15	0	81	22	0	43	181	194	54	"d:Fungi,p:Ascomycota"	-	-	-	-	-	-	-	Unassigned	-
OTU19	0	0	1	1	0	0	0	2	1	1	0	0	31	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	21916	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	1	28	0	0	0	291	0	1	1	0	0	0	0	0	0	684	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Hymenochaetales"	-	-	-	-	-	-	-	Unassigned	-
OTU41	0	0	0	1	2	0	0	2615	0	0	5	0	15	6437	2	0	1648	0	1	0	0	0	1	1	1618	0	207	1	1623	0	0	0	31	4833	0	0	1	1	0	0	1	0	0	0	0	0	370	51	1	0	0	0	0	24	473	0	0	0	0	0	2	0	760	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	1	398	0	368	493	0	2	"d:Fungi,p:Glomeromycota,c:Glomeromycetes,o:Glomerales,f:Glomeraceae,g:Dominikia"	Glomeraceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'
OTU29	0	0	0	1135	0	6661	0	63	0	161	1	5	1	1	16	1	0	0	238	0	7	0	0	4220	914	0	14	1049	0	0	169	1	3	0	0	12	0	1750	0	0	1	0	0	0	1	92	3495	0	11	21	0	12	0	0	0	0	0	0	55	2	0	44	1	0	4	0	0	717	0	0	1	0	2	101	15	0	0	0	31	0	655	0	60	1	0	1	112	1	1	19	"d:Fungi,p:Ascomycota,c:Sordariomycetes"	-	-	-	-	-	-	-	Unassigned	-
OTU32	353	2	0	3	1	16	0	0	196	4309	46	0	1	1	0	27	0	54	0	0	0	2	2975	0	0	139	0	440	0	0	0	3264	1	0	0	132	0	0	578	0	0	2697	683	0	0	0	25	139	1	1	1	109	1	1	325	0	1	0	0	0	0	0	2	109	293	0	292	6	307	546	12	563	0	0	188	0	444	3	2	0	1	273	0	842	1	0	0	0	0	0	"d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"	-	-	-	-	-	-	-	Unassigned	-
OTU25	0	2	50	1018	0	2529	0	27	0	385	0	15	1362	195	112	6	1	0	399	0	4	19	0	1065	1678	32	115	1856	0	0	0	0	0	0	0	0	70	929	10	0	287	0	0	0	0	39	3586	0	86	88	66	4	0	0	1	0	0	76	262	0	0	79	1	1	0	11	1	420	0	0	231	49	0	589	0	0	0	0	0	0	885	3	0	1	191	0	990	27	0	134	"d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales"	-	-	-	-	-	-	-	Unassigned	-
OTU37	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	29	0	0	17885	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	16	0	0	0	0	1	68	2	0	1	0	0	0	0	0	0	0	0	0	1332	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Agaricaceae"	Agaricales	7	Pathotroph-Saprotroph-Symbiotroph	Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph	Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast	NULL	Possible	Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)	b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford'
OTU47	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	99	1177	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	229	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	1	1	1638	0	0	0	0	0	15588	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	1	0	10	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Conocybe,s:Conocybe_deliquescens_SH1583112.08FU"	Conocybe	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:1256688'
OTU24	1	0	1	0	0	0	0	1	0	0	0	1	0	0	0	1	53	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	11	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	17402	0	0	0	0	0	0	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales"	-	-	-	-	-	-	-	Unassigned	-
OTU39	0	0	0	0	0	3183	2	0	0	1	0	1	1	0	0	0	0	0	43	0	0	0	0	0	78	2	12	1226	0	0	1056	0	0	0	0	0	0	0	0	0	0	2	0	0	0	7233	0	1	1	3	1	4	0	0	0	1	2936	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1308	0	0	0	0	1	0	1	0	5	"d:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Bolbitiaceae,g:Conocybe"	Bolbitiaceae	9	Saprotroph	Dung Saprotroph-Plant Saprotroph-Soil Saprotroph	Agaricoid	NULL	Probable	On the soil, rotting vegetation, etc., sometimes associated with dung, animals nests etc. Most species are found in grassland, some are drought-adapted (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'
OTU30	52	0	42	83	59	0	3	1	0	15	206	667	3	204	228	90	326	617	113	13	188	753	0	80	184	61	69	184	888	0	200	110	334	519	0	2563	70	0	534	0	582	202	330	1632	41	0	45	82	127	5	0	402	151	837	377	0	148	2	39	28	326	80	0	0	56	14	56	58	2	210	38	100	1	43	0	0	54	1	120	386	72	11	416	148	201	0	58	83	30	21	"d:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Phaeosphaeriaceae,g:Chaetosphaeronema"	Phaeosphaeriaceae	9	Pathotroph-Saprotroph	Fungal Parasite-Plant Pathogen-Plant Saprotroph	Microfungus	NULL	Probable	Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'
OTU526	203	0	145	3	333	0	1	0	2	29	1132	276	1	3	94	818	0	0	1	26	1995	63	0	10	0	43	14	60	0	0	0	81	0	2	0	1	22	197	266	11	129	0	780	1	90	1	0	1	1	2	103	0	687	18	5053	14	288	0	26	0	0	2	0	4	721	77	159	2	27	716	11	1193	8	31	0	1	120	63	0	21	1	61	0	2	56	447	0	5	1	2	d:Fungi	-	-	-	-	-	-	-	Unassigned	-
