"","OTU","total_OTU_sum","Grass_BOGR_OTU_sum","Grass_BOER_OTU_sum","Grass_PLJA_OTU_sum","Ecotone_BOER_OTU_sum","Ecotone_PLJA_OTU_sum","Ecotone_LATR_OTU_sum","Shrub_LATR_OTU_sum","Domain","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"530","OTU1720",38,0,17,21,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"576","OTU1796",38,0,0,0,0,0,38,0,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"667","OTU1942",38,0,0,0,0,0,38,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporales_fam_Incertae_sedis","g:Phaeomycocentrospora","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"733","OTU2047",38,0,38,0,0,0,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"757","OTU2091",38,0,0,0,9,29,0,0,"d:Fungi","p:Ascomycota","c:Saccharomycetes","o:Saccharomycetales","f:Debaryomycetaceae","g:Meyerozyma","UNKNOWN","Saccharomycetales","7","Saprotroph","Undefined Saprotroph","Yeast","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"761","OTU2099",38,38,0,0,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"767","OTU2106",38,0,0,0,38,0,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"975","OTU2443",38,0,0,0,0,38,0,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Sordariaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1829","OTU42",38,1,28,0,3,1,0,5,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1933","OTU4381",38,0,0,0,0,38,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1968","OTU4440",38,0,0,0,22,4,12,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2137","OTU4754",38,0,1,37,0,0,0,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Funneliformis","UNKNOWN","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"121","OTU1149",37,4,33,0,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"260","OTU1332",37,0,0,0,37,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Ceratobasidiaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"294","OTU1384",37,0,0,0,0,37,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"640","OTU1897",37,0,0,0,1,0,36,0,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"647","OTU1903",37,0,0,0,0,0,0,37,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"662","OTU1932",37,35,0,2,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"669","OTU1945",37,0,37,0,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"671","OTU1949",37,6,23,3,2,3,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"674","OTU1952",37,0,0,0,0,0,37,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"676","OTU1954",37,37,0,0,0,0,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"691","OTU1983",37,0,0,37,0,0,0,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Trichosphaeriales","f:Trichosphaeriaceae","g:Nigrospora","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"709","OTU2012",37,0,0,0,0,0,0,37,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"735","OTU2052",37,0,0,0,0,0,0,37,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Onygenales","f:Onygenaceae","g:Auxarthron","s:Auxarthron_alboluteum_SH1538675.08FU","Onygenaceae","9","Saprotroph","Dung Saprotroph-Soil Saprotroph","Microfungus","NULL","Probable","Generally saprobic and keratinophilic, in soil or coprophilous, occasionally found on hair or horn (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"774","OTU2113",37,0,0,37,0,0,0,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"829","OTU2203",37,0,0,0,0,0,37,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"851","OTU2241",37,0,4,0,0,0,33,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"865","OTU2260",37,3,3,1,1,29,0,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"395","OTU1535",36,2,0,34,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"631","OTU1879",36,0,0,0,0,0,36,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Polyporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"713","OTU2017",36,0,0,36,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"728","OTU2041",36,35,0,0,0,0,0,1,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"730","OTU2043",36,0,0,0,0,0,0,36,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"965","OTU2423",36,0,0,0,0,36,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1003","OTU2491",36,0,0,0,5,1,0,30,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Coprinus","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"1870","OTU4267",36,0,5,30,0,0,1,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"1926","OTU4367",36,0,0,0,36,0,0,0,"d:Fungi","p:Glomeromycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2120","OTU4712",36,2,5,4,1,12,3,9,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Didymellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2599","OTU918",36,0,0,0,0,0,0,36,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2619","OTU938",36,0,0,0,0,0,36,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"148","OTU1184",35,0,0,0,35,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"336","OTU1442",35,0,0,0,0,0,0,35,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Didymosphaeriaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"359","OTU1475",35,0,0,9,25,0,1,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Claroideoglomeraceae","g:Claroideoglomus","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"601","OTU1834",35,0,0,0,0,0,35,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"693","OTU1987",35,25,0,10,0,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"756","OTU2090",35,0,0,0,0,0,0,35,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Sporormiaceae","g:Sporormia","UNKNOWN","Sporormiaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph","Microfungus","NULL","Probable","Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"817","OTU2186",35,0,0,1,0,1,33,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"820","OTU2190",35,0,0,0,0,0,0,35,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"850","OTU2240",35,35,0,0,0,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","UNKNOWN","UNKNOWN","Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Possible","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford'"
"1357","OTU3265",35,0,0,0,0,25,0,10,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","f:Herpotrichiellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2345","OTU645",35,0,31,0,2,0,2,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"32","OTU104",34,0,20,1,7,0,6,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"590","OTU1820",34,0,0,0,0,0,34,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"635","OTU1885",34,1,0,33,0,0,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"687","OTU1977",34,0,0,34,0,0,0,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Phaeosphaeriaceae","g:Tintelnotia","s:Tintelnotia_destructans_SH1570471.08FU","Phaeosphaeriaceae","9","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","Microfungus","NULL","Probable","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"695","OTU1989",34,0,34,0,0,0,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"712","OTU2016",34,0,0,13,0,0,21,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"721","OTU2031",34,0,34,0,0,0,0,0,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"760","OTU2098",34,0,0,0,34,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"795","OTU2151",34,0,0,0,0,33,1,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"844","OTU2231",34,0,0,0,0,0,0,34,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"872","OTU2284",34,0,0,0,34,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"884","OTU2300",34,30,0,0,4,0,0,0,"d:Fungi","p:Basidiomycota","c:Ustilaginomycetes","o:Ustilaginales","f:Ustilaginaceae","g:Ustilago","s:Ustilago_sporoboli-indici_SH1509420.08FU","Ustilago","13","Pathotroph","Plant Pathogen","Facultative Yeast-Smut","NULL","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)'"
"940","OTU2378",34,0,0,0,0,0,34,0,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1382","OTU3316",34,0,0,0,0,0,1,33,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1471","OTU3477",34,0,0,1,0,20,0,13,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1705","OTU397",34,0,34,0,0,0,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2253","OTU555",34,0,15,0,19,0,0,0,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales","f:Myxotrichaceae","g:Oidiodendron","s:Oidiodendron_chlamydosporicum_SH1564442.08FU","Oidiodendron","13","Pathotroph-Symbiotroph","Ericoid Mycorrhizal","Dark Septate Endophyte","NULL","Probable","NULL","b'Newsham 2011. New Phytologist 190:783-793 (as DSE)'"
"625","OTU1869",33,0,0,0,0,33,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"655","OTU1917",33,33,0,0,0,0,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"700","OTU1999",33,0,33,0,0,0,0,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Phaeosphaeriaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"823","OTU2197",33,0,0,0,33,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","UNKNOWN","UNKNOWN","Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Possible","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford'"
"852","OTU2242",33,0,0,33,0,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"853","OTU2243",33,0,0,33,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1172","OTU2847",33,0,0,33,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1680","OTU3900",33,0,0,0,0,33,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2075","OTU4637",33,5,5,5,2,7,9,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2098","OTU4679",33,21,0,3,0,5,4,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"747","OTU2070",32,0,32,0,0,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Psathyrellaceae","g:Coprinopsis","UNKNOWN","Psathyrellaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph-Wood Saprotroph","Agaricoid","NULL","Probable","Saprobic, in grass, on dung, rotten wood and similar substrata (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"766","OTU2105",32,0,0,32,0,0,0,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Capnodiales","f:Mycosphaerellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"773","OTU2112",32,0,0,31,1,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"789","OTU2141",32,0,0,0,26,0,6,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Xylariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"791","OTU2143",32,0,0,0,32,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"848","OTU2238",32,19,0,13,0,0,0,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"898","OTU2319",32,0,0,0,0,32,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Geastrales","f:Sphaerobolaceae","g:Sphaerobolus","s:Sphaerobolus_ingoldii_SH1517632.08FU","Sphaerobolus","13","Saprotroph","Undefined Saprotroph","Gasteroid","White Rot","Probable","Common name - cannon ball fungus","b'Tedersoo L, et al. 2014. Science 346:1256688'"
"902","OTU2323",32,32,0,0,0,0,0,0,"d:Fungi","p:Entomophthoromycota","c:Entomophthoromycetes","o:Entomophthorales","f:Ancylistaceae","g:Conidiobolus","UNKNOWN","Ancylistaceae","9","Pathotroph-Saprotroph","Soil Saprotroph-Undefined Pathotroph","Microfungus","NULL","Probable","Mainly saprobes in the soil or on decaying leaves and other dead plant material, and some pathogens of insects, soil invertebrates, desmid algae, or facultative mycotic agents in man (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"955","OTU2405",32,12,0,20,0,0,0,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1811","OTU4169",32,0,0,0,0,22,9,1,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"670","OTU1947",31,0,0,0,0,0,0,31,"d:Fungi","p:Zoopagomycota","c:Zoopagomycetes","o:Zoopagales","f:Piptocephalidaceae","g:Syncephalis","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"682","OTU1962",31,0,26,0,0,0,0,5,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"694","OTU1988",31,0,0,0,0,0,31,0,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"742","OTU2064",31,0,0,31,0,0,0,0,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Botryosphaeriales","f:Aplosporellaceae","g:Aplosporella","UNKNOWN","Aplosporellaceae","9","Pathotroph-Symbiotroph","Endophyte-Plant Pathogen","Microfungus","NULL","Probable","...in an attempt to locate alternate hosts for grapevine canker causing ascomycetes, an undescribed isolate of Aplosporella was obtained from Prunus wood (Damm et al. 2007); Jami et al. (2014) described Aplosporella javeedii as an endophyte from healthy wood sections (Fan X-L, et al. 2015)","b'Damm U, et al. 2007. Fungal Diversity 27:35-43; Fan X-L, et al. 2015. Mycotaxon 130:749-756'"
"751","OTU2081",31,21,0,0,0,0,0,10,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"764","OTU2101",31,0,31,0,0,0,0,0,"d:Fungi","p:Basidiomycota","c:Tremellomycetes","o:Cystofilobasidiales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"798","OTU2158",31,0,0,0,0,0,0,31,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"835","OTU2218",31,0,0,0,31,0,0,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"856","OTU2246",31,0,0,0,31,0,0,0,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1017","OTU2512",31,0,0,9,0,0,22,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1058","OTU2598",31,0,0,0,0,0,31,0,"d:Fungi","p:Ascomycota","c:Xylonomycetes","o:Symbiotaphrinales","f:Symbiotaphrinaceae","g:Symbiotaphrina","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1460","OTU3455",31,1,6,23,0,1,0,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
