"","OTU","average","av_Ecotone","av_Grassland","pval","SIM_dir","Rank","Final.Taxonomy.for.Funguild","taxonomy","Taxon","Taxon.Level","Trophic.Mode","Guild","Confidence.Ranking","Growth.Morphology","Trait","Notes","Citation.Source"
"11","OTU1914",0.00054188347728427,1.90779330733396,0.16108178707609,0.0143,"Ecotone",416,"Fungi,Ascomycota,Pezizomycetes,Pezizales","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales","-","-","-","-","-","-","-","Unassigned","-"
"12","OTU199",0.000877500922600927,3.1483978084617,0.16108178707609,0.0441,"Ecotone",145,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae","-","-","-","-","-","-","-","Unassigned","-"
"13","OTU215",0.000871353473942396,2.9959834064225,0.250759420950146,0.0476,"Ecotone",116,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Montagnula_3265,unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Montagnulaceae;g__Montagnula_3265;unk","Montagnula","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"14","OTU22",0.00135123376687301,6.34964567835592,2.40162796008504,0.0201,"Ecotone",17,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae","Pezizaceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","Possible","Pezizoid","NULL","Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"15","OTU246",0.000877881150714942,3.17395073058954,0.16108178707609,0.0455,"Ecotone",225,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus_20482,unk","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus_20482;unk","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"16","OTU251",0.00118999570636244,4.13731860358379,0.16108178707609,0.0432,"Ecotone",87,"Fungi,Ascomycota,Sordariomycetes","k__Fungi;p__Ascomycota;c__Sordariomycetes","-","-","-","-","-","-","-","Unassigned","-"
"17","OTU26",0.00227739648959638,8.63551564921606,6.10496427296967,0.0114,"Ecotone",15,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; Pezizomycetes; Pezizales; Pezizaceae","k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pezizaceae","Pezizaceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Litter Saprotroph-Undefined Saprotroph","Possible","Pezizoid","NULL","Saprobic or ectomycorrhizal, on or in soil, leafmould etc., some species associated with dung or fire sites (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"18","OTU265",0.00140399230324228,4.96767032394275,0.334875151071725,0.0045,"Ecotone",122,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina","k__Fungi;p__Ascomycota","-","-","-","-","-","-","-","Unassigned","-"
"19","OTU276",0.00143173120092031,5.04226091169188,2.5273781026664,0.014,"Ecotone",187,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Diademaceae,Comoclathris_1198,unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Diademaceae;g__Comoclathris_1198;unk","Comoclathris","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"20","OTU2778",0.000530504262667847,0.16108178707609,1.68779170195973,0.021,"Grassland",364,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus_20482,unk","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Rhizophagus_20482;unk","Rhizophagus","13","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"21","OTU28",0.0021539033136668,4.09742066059474,10.0479355223485,0.0365,"Grassland",5,"Fungi; Dikarya; Ascomycota; saccharomyceta; Pezizomycotina; leotiomyceta; dothideomyceta; Dothideomycetes; Pleosporomycetidae; Pleosporales; Pleosporineae; Phaeosphaeriaceae; Phaeodothis","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Phaeodothis","Phaeodothis","13","Saprotroph","Undefined Saprotroph","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"22","OTU285",0.000738295289026832,2.56902682808727,0.267083632224367,0.0471,"Ecotone",250,"Fungi; Fungi incertae sedis; Mucoromycota; Mucoromycota incertae sedis; Calcarisporiellales; Calcarisporiellaceae","k__Fungi;p__Mucoromycota;c__Mucoromycotaincertaesedis;o__Calcarisporiellales;f__Calcarisporiellaceae","-","-","-","-","-","-","-","Unassigned","-"
"23","OTU292",0.000274898760445547,0.16108178707609,0.973239265119626,0.0397,"Grassland",487,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae","k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Sordariales;f__Lasiosphaeriaceae","Lasiosphaeriaceae","9","Saprotroph","Undefined Saprotroph","Probable","Microfungus","NULL","Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"24","OTU2969",0.000568099906854792,0.16108178707609,1.814654331623,0.0322,"Grassland",392,"Fungi,unk","k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","-","-","-","-","-","-","-","Unassigned","-"
"25","OTU311",0.000916326723203705,3.27011473840589,0.16108178707609,0.0476,"Ecotone",262,"Fungi,unk","k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","-","-","-","-","-","-","-","Unassigned","-"
"26","OTU33",0.00128946504745984,5.77495461482256,4.34881271363944,0.0087,"Ecotone",63,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae","Pleosporaceae","9","Pathotroph-Saprotroph","Endophyte-Lichen Parasite-Plant Pathogen-Undefined Saprotroph","Probable","Microfungus","NULL","Necrotrophic pathogens and saprobes, especially associated with grasses. Many species are seed-borne (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; David AS, et al. 2016. Microbial Ecology 71:912-926; Lawrey JD, Diederich P. 2016. URL: http://www.lichenicolous.net [24 May 2017]"
"27","OTU333",0.00142836565608888,4.67565329120909,1.71139993223435,0.0056,"Ecotone",163,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium_7765,unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Coniothyriaceae;g__Coniothyrium_7765;unk","Coniothyrium","13","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","Highly Probable","NULL","Soft Rot","NULL","Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Nilsson T. 1973. Studies on wood degradation and cellulolytic activity of microfungi. No. 104; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; http://www.apsnet.org/publications/commonnames/Pages/default.aspx"
"28","OTU370",0.00122581359746741,4.48869122467574,0.518044309327759,0.0134,"Ecotone",267,"Fungi,unk","k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__Fungi_sp","-","-","-","-","-","-","-","Unassigned","-"
"29","OTU392",0.000698072982175008,2.40924447187453,0.16108178707609,0.0361,"Ecotone",347,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Bipolaris_7375,unk","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Bipolaris_7375;unk","Bipolaris","13","Pathotroph","Plant Pathogen","Probable","NULL","NULL","NULL","Tedersoo L, et al. 2014. Science 346:1256688"
"30","OTU40",0.00135070963564809,4.90946427189098,3.03689597432298,0.0432,"Ecotone",31,"","k__Fungi;p__Basidiomycota;c__Malasseziomycetes;o__Malasseziales;f__Malasseziaceae;g__Malassezia_8831,unk","Malassezia","13","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","Probable","Facultative Yeast","NULL","A lipid-dependent fungus growing on the sebaceous areas of human skin that may cause or exacerbate several skin diseases (Pityrosporum is a synonym that has been used for the yeast forms)","Findley K, et al. 2013. Nature 498:367-370"
"31","OTU4088",0.00121155234447932,4.0277124969507,0.16108178707609,0.003,"Ecotone",301,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Leptosphaeriaceae","k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Leptosphaeriaceae","Leptosphaeriaceae","9","Pathotroph-Saprotroph","Plant Pathogen-Wood Saprotroph","Probable","Microfungus","NULL","Saprobic or weakly necrotrophic on stems or leaves (Cannon & Kirk 2007)","Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge"
"32","OTU41",0.00144540324681804,5.13998917909585,0.250759420950146,0.0175,"Ecotone",41,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Dominikia","k__Fungi;p__Glomeromycota;c__Glomeromycetes;o__Glomerales;f__Glomeraceae;g__Dominikia","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","Highly Probable","NULL","NULL","NULL","Redecker D, et al. 2013. Mycorrhiza 23:515-531"
"33","OTU415",0.000766550017290445,0.16108178707609,2.33147036369327,0.0044,"Grassland",348,"Fungi,Basidiomycota,Agaricomycetes","k__Fungi;p__Basidiomycota;c__Agaricomycetes","-","-","-","-","-","-","-","Unassigned","-"
"34","OTU426",0.000373547366056237,0.16108178707609,1.23181841469125,0.0184,"Grassland",406,"Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales","-","-","-","-","-","-","-","Unassigned","-"
"35","OTU464",0.00112585939640876,4.06995983342529,0.46244279088837,0.007,"Ecotone",429,"Fungi,Ascomycota,Eurotiomycetes,Onygenales","k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Onygenales","-","-","-","-","-","-","-","Unassigned","-"
