"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU54" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Pleosporaceae" "UNKNOWN" "UNKNOWN"
"OTU3880" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3774" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "g:Kamienskia" "UNKNOWN"
"OTU32" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU98" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU949" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU67" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU12" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2328" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Cantharellales" "f:Ceratobasidiaceae" "UNKNOWN" "UNKNOWN"
"OTU16" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1357" "d:Fungi" "p:Ascomycota" "c:Pezizomycetes" "o:Pezizales" "f:Ascobolaceae" "g:Ascobolus" "UNKNOWN"
"OTU508" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU1132" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU258" "d:Fungi" "p:Ascomycota" "c:Pezizomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU161" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU83" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU315" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU911" "d:Fungi" "p:Mortierellomycota" "c:Mortierellomycetes" "o:Mortierellales" "f:Mortierellaceae" "g:Mortierella" "UNKNOWN"
"OTU810" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU269" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Cantharellales" "f:Ceratobasidiaceae" "UNKNOWN" "UNKNOWN"
"OTU444" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4223" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "g:Kamienskia" "s:Kamienskia_divaricata_SH1561106.08FU"
"OTU260" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Xylariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1930" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU105" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU545" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU39" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Bolbitiaceae" "g:Conocybe" "UNKNOWN"
"OTU209" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2603" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Cantharellales" "f:Ceratobasidiaceae" "g:Thanatephorus" "UNKNOWN"
"OTU11" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Cantharellales" "f:Ceratobasidiaceae" "UNKNOWN" "UNKNOWN"
"OTU60" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU40" "d:Fungi" "p:Basidiomycota" "c:Malasseziomycetes" "o:Malasseziales" "f:Malasseziaceae" "g:Malassezia" "UNKNOWN"
"OTU654" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Sporormiaceae" "g:Preussia" "UNKNOWN"
"OTU234" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Corticiales" "f:Corticiaceae" "UNKNOWN" "UNKNOWN"
"OTU27" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Agaricaceae" "g:Coprinus" "UNKNOWN"
"OTU57" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Aspergillus" "s:Aspergillus_fumigatiaffinis_SH2190266.08FU"
"OTU28" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU267" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Strophariaceae" "g:Stropharia" "UNKNOWN"
"OTU73" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Penicillium" "s:Penicillium_roqueforti_SH1245561.08FU"
"OTU77" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Entolomataceae" "g:Entoloma" "UNKNOWN"
"OTU370" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2507" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4422" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Crepidotaceae" "g:Crepidotus" "UNKNOWN"
"OTU9" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU342" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "f:Chaetomiaceae" "UNKNOWN" "UNKNOWN"
"OTU132" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Agaricaceae" "g:Lepiota" "s:Lepiota_farinolens_SH1160040.08FU"
"OTU10" "d:Fungi" "p:Basidiomycota" "c:Malasseziomycetes" "o:Malasseziales" "f:Malasseziaceae" "UNKNOWN" "UNKNOWN"
"OTU65" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU844" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Chaetothyriales" "f:Herpotrichiellaceae" "g:Exophiala" "UNKNOWN"
"OTU4544" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU274" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU61" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU126" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU263" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Xylariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
