"","variable","Trophic.Mode","value","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","sampleID","project","Location","Spp","Rep","site_spp"
"30","fungi.Ecotone.LATR.2","Symbiotroph",107.93058349353,"Ecotone_LATR_2",74,67.6,19.2,13.2,8.3,0,199,1,2.1,"E","Latr",2,3.52,170.08,34.99,1692.05,"110.85","5360.3",35.03,1693.75,"fungi.Ecotone.LATR.2","transitions","Ecotone","LATR",2,"E.Latr"
"31","fungi.Ecotone.LATR.3","Pathotroph",45.0618434846732,"Ecotone_LATR_3",75,69.6,19.2,11.2,8.3,21,339,1.2,1.9,"E","Latr",3,5.08,221.97,69.35,3029.41,"89.78","3921.88",71.82,3137.35,"fungi.Ecotone.LATR.3","transitions","Ecotone","LATR",3,"E.Latr"
"32","fungi.Ecotone.LATR.3","Saprotroph",166.259851106714,"Ecotone_LATR_3",75,69.6,19.2,11.2,8.3,21,339,1.2,1.9,"E","Latr",3,5.08,221.97,69.35,3029.41,"89.78","3921.88",71.82,3137.35,"fungi.Ecotone.LATR.3","transitions","Ecotone","LATR",3,"E.Latr"
"33","fungi.Ecotone.LATR.3","Symbiotroph",81.4268569848607,"Ecotone_LATR_3",75,69.6,19.2,11.2,8.3,21,339,1.2,1.9,"E","Latr",3,5.08,221.97,69.35,3029.41,"89.78","3921.88",71.82,3137.35,"fungi.Ecotone.LATR.3","transitions","Ecotone","LATR",3,"E.Latr"
"34","fungi.Ecotone.LATR.4","Pathotroph",77.2077382785055,"Ecotone_LATR_4",76,65.6,17.2,17.2,8.5,0,235,0.7,2,"E","Latr",4,3.02,187.93,71.17,4424.06,"194.76","12107.4",40.69,2529.4,"fungi.Ecotone.LATR.4","transitions","Ecotone","LATR",4,"E.Latr"
"35","fungi.Ecotone.LATR.4","Saprotroph",239.319150951009,"Ecotone_LATR_4",76,65.6,17.2,17.2,8.5,0,235,0.7,2,"E","Latr",4,3.02,187.93,71.17,4424.06,"194.76","12107.4",40.69,2529.4,"fungi.Ecotone.LATR.4","transitions","Ecotone","LATR",4,"E.Latr"
"36","fungi.Ecotone.LATR.4","Symbiotroph",124.919465783502,"Ecotone_LATR_4",76,65.6,17.2,17.2,8.5,0,235,0.7,2,"E","Latr",4,3.02,187.93,71.17,4424.06,"194.76","12107.4",40.69,2529.4,"fungi.Ecotone.LATR.4","transitions","Ecotone","LATR",4,"E.Latr"
"37","fungi.Ecotone.LATR.5","Pathotroph",66.4236424663087,"Ecotone_LATR_5",77,55.6,20,24.4,8.4,0,217,1,0.8,"E","Latr",5,1.72,102.5,31.62,1887.3,"192.79","11508.77",20.47,1222.06,"fungi.Ecotone.LATR.5","transitions","Ecotone","LATR",5,"E.Latr"
"38","fungi.Ecotone.LATR.5","Saprotroph",181.973471529948,"Ecotone_LATR_5",77,55.6,20,24.4,8.4,0,217,1,0.8,"E","Latr",5,1.72,102.5,31.62,1887.3,"192.79","11508.77",20.47,1222.06,"fungi.Ecotone.LATR.5","transitions","Ecotone","LATR",5,"E.Latr"
"39","fungi.Ecotone.LATR.5","Symbiotroph",67.593874383142,"Ecotone_LATR_5",77,55.6,20,24.4,8.4,0,217,1,0.8,"E","Latr",5,1.72,102.5,31.62,1887.3,"192.79","11508.77",20.47,1222.06,"fungi.Ecotone.LATR.5","transitions","Ecotone","LATR",5,"E.Latr"
"40","fungi.Ecotone.LATR.6","Pathotroph",70.9012854597551,"Ecotone_LATR_6",78,59.6,20,20.4,8.4,0,223,0.8,0.9,"E","Latr",6,2.18,112.94,41.44,2151.36,"181.86","9440.49",34.46,1788.72,"fungi.Ecotone.LATR.6","transitions","Ecotone","LATR",6,"E.Latr"
"41","fungi.Ecotone.LATR.6","Saprotroph",146.931116865723,"Ecotone_LATR_6",78,59.6,20,20.4,8.4,0,223,0.8,0.9,"E","Latr",6,2.18,112.94,41.44,2151.36,"181.86","9440.49",34.46,1788.72,"fungi.Ecotone.LATR.6","transitions","Ecotone","LATR",6,"E.Latr"
"42","fungi.Ecotone.LATR.6","Symbiotroph",75.2061426955558,"Ecotone_LATR_6",78,59.6,20,20.4,8.4,0,223,0.8,0.9,"E","Latr",6,2.18,112.94,41.44,2151.36,"181.86","9440.49",34.46,1788.72,"fungi.Ecotone.LATR.6","transitions","Ecotone","LATR",6,"E.Latr"
"43","fungi.Ecotone.LATR.7","Pathotroph",93.2562219645573,"Ecotone_LATR_7",79,67.6,18,14.4,8.3,18,232,1,2.4,"E","Latr",7,5.25,316.22,65.55,3948.67,"62.24","3749.33",72.27,4353.8,"fungi.Ecotone.LATR.7","transitions","Ecotone","LATR",7,"E.Latr"
"44","fungi.Ecotone.LATR.7","Saprotroph",253.365878306766,"Ecotone_LATR_7",79,67.6,18,14.4,8.3,18,232,1,2.4,"E","Latr",7,5.25,316.22,65.55,3948.67,"62.24","3749.33",72.27,4353.8,"fungi.Ecotone.LATR.7","transitions","Ecotone","LATR",7,"E.Latr"
