"","sampleID","Shannon","InvSimpson","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","project","Location","Spp","Rep","site_spp","Chao1"
"31","fungi.Grass.BOER.7",6.50204776824334,409.316290509442,"Grass_BOER_7",47,66,16.66666667,17.33333333,8.4,25,232,1,1.1,"G","Boer",7,11.2,554.6,49.11,2431.69,"126.96","6286.86",72.02,3566.38,"transitions","Grass","BOER",7,"G.Boer",410.157894736842
"32","fungi.Grass.BOER.8",6.61117974727599,379.006825674142,"Grass_BOER_8",48,64.33333333,16.66666667,19,8.4,15,241,1.1,3.7,"G","Boer",8,6.79,248.36,44.42,1623.7,"170.38","6228.13",39.47,1442.69,"transitions","Grass","BOER",8,"G.Boer",489.111111111111
"33","fungi.Grass.BOGR.1",6.6450201206407,432.920724684679,"Grass_BOGR_1",49,64.33333333,18.33333333,17.33333333,8.5,17,217,1.2,1.5,"G","Bogr",1,5.67,204.96,138.13,4997.25,"228.03","8249.39",39.61,1433.01,"transitions","Grass","BOGR",1,"G.Bogr",446.84
"34","fungi.Grass.BOGR.2",6.50031856202502,259.067974120583,"Grass_BOGR_2",50,59.33333333,21.66666667,19,8.5,23,313,1,1.1,"G","Bogr",2,4.72,209.83,54.48,2421.56,"313.66","13942.78",35.47,1576.94,"transitions","Grass","BOGR",2,"G.Bogr",180.272727272727
"35","fungi.Grass.BOGR.3",6.63150524590413,379.498719800705,"Grass_BOGR_3",51,45.2,28,26.8,8.5,28,320,1.5,3.2,"G","Bogr",3,6.17,213.31,77.99,2694.48,"291.55","10073.35",58.93,2035.9,"transitions","Grass","BOGR",3,"G.Bogr",425.230769230769
"36","fungi.Grass.BOGR.4",6.68498083968172,432.493789670898,"Grass_BOGR_4",52,55.2,24,20.8,8.5,23,286,1,1.3,"G","Bogr",4,3.17,146.6,111.65,5159.54,"224.08","10355.69",22.1,1021.49,"transitions","Grass","BOGR",4,"G.Bogr",478.136363636364
"37","fungi.Grass.BOGR.5",6.65414606725075,343.167441789855,"Grass_BOGR_5",53,49.2,28,22.8,8.5,24,348,1.5,2.6,"G","Bogr",5,4.96,179.42,56.61,2049.56,"163.37","5914.16",42.47,1537.49,"transitions","Grass","BOGR",5,"G.Bogr",313.111111111111
"38","fungi.Grass.BOGR.6",6.65786514261317,488.10548921467,"Grass_BOGR_6",NA,NA,NA,NA,8.5,27,319,1.1,2.4,"G","Bogr",6,15.53,714.13,73.56,3382.63,"116","5334.56",77.6,3568.42,"transitions","Grass","BOGR",6,"G.Bogr",480.12
"39","fungi.Grass.BOGR.7",6.52023282723642,318.89059809336,"Grass_BOGR_7",55,57.2,20,22.8,8.6,23,272,1,0.8,"G","Bogr",7,6.98,309.45,37.44,1661.18,"177.57","7877.88",28.83,1279.2,"transitions","Grass","BOGR",7,"G.Bogr",276
"40","fungi.Grass.BOGR.8",6.45381494652456,313.144868655342,"Grass_BOGR_8",56,57.2,20,22.8,8.6,20,318,1.2,1.5,"G","Bogr",8,10.63,442.65,51.58,2148.64,"191.21","7964.97",48.79,2032.2,"transitions","Grass","BOGR",8,"G.Bogr",280.588235294118
"41","fungi.Grass.PLJA.1",5.78405139953117,125.850083833663,"Grass_PLJA_1",33,51.2,18,30.8,8.5,20,303,1.1,1.2,"G","Plja",1,4.51,181.17,129.67,5212.29,"342.91","13783.46",31.6,1270.01,"transitions","Grass","PLJA",1,"G.Plja",106
"42","fungi.Grass.PLJA.2",6.27761057514254,401.423540106662,"Grass_PLJA_2",34,43.2,28,28.8,8.4,26,377,1.3,1.8,"G","Plja",2,6.17,222,57.19,2056.37,"313.62","11276.9",52.2,1876.81,"transitions","Grass","PLJA",2,"G.Plja",487.588235294118
"43","fungi.Grass.PLJA.3",6.5159001665873,337.071646794676,"Grass_PLJA_3",35,57.2,22,20.8,8.3,37,264,1.2,7.4,"G","Plja",3,2.95,125.09,107,4530.04,"211.95","8973.37",22.3,944.33,"transitions","Grass","PLJA",3,"G.Plja",299.5
"44","fungi.Grass.PLJA.4",6.81114522899667,376.717415350843,"Grass_PLJA_4",36,53.2,20,26.8,8.5,27,227,1,2.4,"G","Plja",4,4.07,175.85,47.94,2069.07,"200.39","8648.55",43.81,1890.73,"transitions","Grass","PLJA",4,"G.Plja",293.2
"45","fungi.Grass.PLJA.5",6.64505714831079,475.981530985002,"Grass_PLJA_5",37,53.2,22,24.8,8.4,33,359,1.3,1.2,"G","Plja",5,7.99,297.61,62.17,2316.13,"188.17","7010.22",61.34,2285.43,"transitions","Grass","PLJA",5,"G.Plja",540.78125
"46","fungi.Grass.PLJA.6",6.97581077360724,495.838588072384,"Grass_PLJA_6",38,53.2,24,22.8,8.3,30,346,1.3,3.2,"G","Plja",6,7.64,247.12,53.08,1717.2,"96.03","3106.83",60.62,1961.17,"transitions","Grass","PLJA",6,"G.Plja",633.454545454545
"47","fungi.Grass.PLJA.7",6.6734417537583,407.697951454226,"Grass_PLJA_7",39,55.2,20,24.8,8.5,21,289,1,2.1,"G","Plja",7,8.14,489.45,35.83,2154.27,"88.2","5302.99",44.57,2679.47,"transitions","Grass","PLJA",7,"G.Plja",389.136363636364
"48","fungi.Grass.PLJA.8",6.7984396860111,409.232993253693,"Grass_PLJA_8",40,55.2,22,22.8,8.4,22,339,1.3,1.3,"G","Plja",8,4.23,166.53,39.08,1538.19,".",".",29.95,1178.68,"transitions","Grass","PLJA",8,"G.Plja",356.25
"49","fungi.Shrub.LATR.1",6.52010679528306,374.311614449669,"Shrub_LATR_1",81,59.6,22,18.4,8.5,0,211,1,1.7,"S","Latr",1,13.85,559.11,160.74,6489.03,"190.65","7696.34",73.28,2958.12,"transitions","Shrub","LATR",1,"S.Latr",394.8
"50","fungi.Shrub.LATR.2",6.50019629475557,358.971065323271,"Shrub_LATR_2",82,55.6,22,22.4,8.5,0,196,0.9,1.2,"S","Latr",2,3.48,158.05,34.77,1579.55,"265.78","12072.4",30.56,1388.09,"transitions","Shrub","LATR",2,"S.Latr",379.541666666667
"51","fungi.Shrub.LATR.3",6.49267702182902,408.344129476214,"Shrub_LATR_3",83,47.6,30,22.4,8.3,0,184,1.4,3.4,"S","Latr",3,4.24,111.96,150.04,3958.15,"259.66","6849.97",39.95,1053.79,"transitions","Shrub","LATR",3,"S.Latr",392.260869565217
"52","fungi.Shrub.LATR.4",6.32866195883744,274.261593996943,"Shrub_LATR_4",84,49.6,28,22.4,8.5,0,234,1.1,2.2,"S","Latr",4,2.3,122.96,103.79,5560.73,"219.55","11762.82",30.34,1625.34,"transitions","Shrub","LATR",4,"S.Latr",207.076923076923
"53","fungi.Shrub.LATR.5",6.49910109268474,399.616740844671,"Shrub_LATR_5",85,57.6,24,18.4,8.5,0,181,1,3,"S","Latr",5,2,105.78,38.81,2056.85,"170.92","9058.48",21.54,1141.81,"transitions","Shrub","LATR",5,"S.Latr",431.4
"54","fungi.Shrub.LATR.6",6.31318855702459,275.386405207992,"Shrub_LATR_6",86,57.6,24,18.4,8.5,0,217,1,2.3,"S","Latr",6,2.77,148.53,34.44,1844.29,"137.94","7386.27",42.49,2275.21,"transitions","Shrub","LATR",6,"S.Latr",333.4
"55","fungi.Shrub.LATR.7",6.42874443197581,262.100525454627,"Shrub_LATR_7",87,55.6,22,22.4,8.5,1,268,1.1,2.3,"S","Latr",7,7.68,328.82,84.02,3595.69,"276.26","11822.35",94.85,4059.2,"transitions","Shrub","LATR",7,"S.Latr",210.583333333333
"56","fungi.Shrub.LATR.8",6.23175416855648,377.27418771413,"Shrub_LATR_8",88,55.6,26,18.4,8.2,2,254,1.7,6.5,"S","Latr",8,11.32,418.66,84.24,3114.39,"251.21","9287.57",99.52,3679.26,"transitions","Shrub","LATR",8,"S.Latr",394.05
