"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU40" "Fungi" "Basidiomycota" "Malasseziomycetes" "Malasseziales" "Malasseziaceae" "Malassezia" "unk"
"OTU654" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Sporormiaceae" "Preussia" "unk"
"OTU234" "Fungi" "Basidiomycota" "Agaricomycetes" "Corticiales" "Corticiaceae" "Limonomyces" "Limonomyces_roseipellis"
"OTU27" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Coprinus" "unk"
"OTU57" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Aspergillus" "unk"
"OTU28" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymosphaeriaceae" "Didymosphaeria" "unk"
"OTU267" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Strophariaceae" "Stropharia" "Stropharia_coronilla"
"OTU73" "Fungi" "Ascomycota" "Eurotiomycetes" "Eurotiales" "Trichocomaceae" "Penicillium" "Penicillium_polonicum"
"OTU77" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Entolomataceae" "Entoloma" "unk"
"OTU370" "Fungi" "unk" "unk" "unk" "unk" "unk" "unk"
"OTU2507" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Lentitheciaceae" "Darksidea" "Darksidea_zeta"
"OTU4422" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Inocybaceae" "Crepidotus" "unk"
"OTU9" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU342" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unk" "unk"
"OTU132" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Lepiota" "unk"
"OTU65" "Fungi" "Basidiomycota" "Agaricomycetes" "unk" "unk" "unk" "unk"
"OTU844" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Exophiala" "Exophiala_bergeri"
"OTU4544" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Lepiota" "unk"
"OTU274" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU61" "Fungi" "Ascomycota" "Dothideomycetes" "unk" "unk" "unk" "unk"
"OTU126" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU263" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Diatrypaceae" "Eutypa" "unk"
"OTU1585" "Fungi" "Basidiomycota" "Agaricomycetes" "unk" "unk" "unk" "unk"
"OTU108" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU109" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU340" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU45" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Tulostoma" "unk"
"OTU233" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Ascochyta" "unk"
"OTU37" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Lepiota" "unk"
"OTU1050" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Lentitheciaceae" "Darksidea" "unk"
