"","OTU","OTU_sum","Domain","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"1832","OTU4203",82,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Kamienskia","s:Kamienskia_divaricata_SH1561105.08FU","Glomeraceae","9","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"342","OTU1450",81,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"385","OTU1520",81,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"430","OTU1584",81,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"448","OTU1603",81,"d:Fungi","p:Basidiomycota","c:Tremellomycetes","o:Tremellales","f:Bulleribasidiaceae","g:Dioszegia","UNKNOWN","Tremellales","7","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","Tremelloid-Yeast","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"455","OTU1616",81,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1623","OTU3787",81,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Chaetomiaceae","g:Acrophialophora","UNKNOWN","Chaetomiaceae","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph","Microfungus","Soft Rot","Possible","Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926'"
"1713","OTU3988",81,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"204","OTU1253",80,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","f:Aspergillaceae","g:Aspergillus","UNKNOWN","Eurotiales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"309","OTU1407",80,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Cantharellales","f:Ceratobasidiaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"772","OTU2110",80,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","g:Septoglomus","s:Septoglomus_viscosum_SH1505467.08FU","Septoglomus","13","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"331","OTU1436",79,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"402","OTU1543",79,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"524","OTU1713",79,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Hypocreales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1942","OTU4399",79,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2074","OTU4636",79,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"367","OTU1489",78,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2603","OTU921",78,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"305","OTU1402",77,"d:Fungi","p:Ascomycota","c:Pezizomycetes","o:Pezizales","f:Pyronemataceae","g:Geopora","UNKNOWN","Pyronemataceae","9","Saprotroph-Symbiotroph","Dung Saprotroph-Ectomycorrhizal-Soil Saprotroph-Wood Saprotroph","Gasteroid-Pezizoid","NULL","Possible","Saprobic on soil, dung or rotten wood or mycorrhizal, some species hypogeous, others associated with fire sites (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"313","OTU1411",77,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"392","OTU1529",77,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"1522","OTU3590",77,"d:Fungi","p:Chytridiomycota","c:Spizellomycetes","o:Spizellomycetales","f:Spizellomycetaceae","g:Kochiomyces","UNKNOWN","Spizellomycetaceae","9","Pathotroph","Plant Pathogen-Undefined Parasite-Undefined Saprotroph","Microfungus","NULL","Probable","Common in the soil and also as parasites of a range of soil organisms and plants (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"346","OTU1456",76,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"408","OTU1550",76,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"511","OTU1696",76,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"1005","OTU2496",76,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Coprinus","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"329","OTU1433",75,"d:Fungi","p:Chytridiomycota","c:Spizellomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1034","OTU2547",75,"d:Fungi","p:Mucoromycota","c:Mucoromycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2515","OTU826",75,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"289","OTU1377",74,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"332","OTU1437",74,"d:Fungi","p:Ascomycota","c:Saccharomycetes","o:Saccharomycetales","f:Saccharomycodaceae","g:Hanseniaspora","UNKNOWN","Saccharomycetales","7","Saprotroph","Undefined Saprotroph","Yeast","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"375","OTU1501",74,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"537","OTU1730",74,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"909","OTU2334",74,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1771","OTU4109",74,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Polyporales","f:Meruliaceae","g:Rhizochaete","s:Rhizochaete_fouquieriae_SH1514947.08FU","Rhizochaete","13","Saprotroph","Undefined Saprotroph","Corticioid","White Rot","Probable","NULL","b'Tedersoo L, et al. 2014. Science 346:1256688'"
"322","OTU1423",73,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"328","OTU1432",73,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"339","OTU1447",73,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"353","OTU1468",73,"d:Fungi","p:Basidiomycota","c:Microbotryomycetes","o:Sporidiobolales","f:Sporidiobolaceae","g:Rhodotorula","UNKNOWN","Sporidiobolaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","Saprobic, found in a wide range of habitats and especially in aquatic systems. Some of the red yeasts in this family are widely encountered spoilage organisms and opportunistic human pathogens (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"366","OTU1487",73,"d:Fungi","p:Basidiomycota","c:Tremellomycetes","o:Cystofilobasidiales","f:Mrakiaceae","g:Udeniomyces","s:Udeniomyces_puniceus_SH1560793.08FU","Udeniomyces","13","Saprotroph-Symbiotroph","Epiphyte-Litter Saprotroph","Yeast","NULL","Probable","...isolated from the pear phylloplane (Stadelmann 1975); ...isolated from dead leaves of Oryza sativa, Miscanthus sinensis and Sasa sp. in Japan (Nakase & Suzuki 1986; Bullera spp.)","b'Stadelmann F. 1975. Antonie van Leeuwenhoek 41:575-582; Nakase T, Suzuki M. 1986. Journal of General and Applied Microbiology Tokyo 32:225-240'"
"370","OTU1494",73,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"416","OTU1564",73,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Cucurbitariaceae","g:Pyrenochaeta","s:Pyrenochaeta_unguis-hominis_SH1151391.08FU","Pyrenochaeta","13","Saprotroph","Undefined Saprotroph-Wood Saprotroph","NULL","Soft Rot","Highly Probable","NULL","b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688'"
"431","OTU1585",73,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"542","OTU1736",73,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"338","OTU1446",72,"d:Fungi","p:Ascomycota","c:Orbiliomycetes","o:Orbiliales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"403","OTU1544",72,"d:Fungi","p:Ascomycota","c:Lecanoromycetes","o:Acarosporales","f:Acarosporaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"410","OTU1555",72,"d:Fungi","p:Basidiomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"490","OTU1666",72,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Eurotiales","f:Aspergillaceae","g:Aspergillus","UNKNOWN","Eurotiales","7","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Possible","NULL","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"652","OTU1913",72,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1228","OTU2966",72,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1776","OTU4113",72,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","UNKNOWN","UNKNOWN","UNKNOWN","Glomeromycota","3","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"327","OTU1431",71,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"388","OTU1525",71,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"399","OTU1540",71,"d:Fungi","p:Basidiomycota","c:Tremellomycetes","o:Tremellales","f:Tremellaceae","g:Cryptococcus","UNKNOWN","Tremellales","7","Pathotroph-Saprotroph-Symbiotroph","Fungal Parasite-Undefined Saprotroph","Tremelloid-Yeast","NULL","Possible","The order contains both teleomorphic and anamorphic species, most of the latter being yeasts","b'Sterkenburg E, et al. 2015. New Phytologist 207:1145-1158'"
"461","OTU1625",71,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"705","OTU2002",71,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Pleosporaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1152","OTU2806",71,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Chaetomiaceae","g:Chaetomium","UNKNOWN","Chaetomiaceae","9","Pathotroph-Saprotroph-Symbiotroph","Animal Pathogen-Dung Saprotroph-Endophyte-Epiphyte-Plant Saprotroph-Wood Saprotroph","Microfungus","Soft Rot","Possible","Saprobic, acting as key decay organisms of plant materials and plant-derived commodities (Cannon & Kirk 2007); Epiphyte detection method-culture (Massimo et al. 2015); Endophyte detection method-culture (Busby et al. 2016, David et al. 2016); Likely opportunistic human pathogen (Irinyi et al. 2015)","b'Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Bills GF, et al. 2013. Current Opinion in microbiology, 16:549-565; Tedersoo L, et al. 2014. Science 346:1256688; Irinyi L, et al. 2015. Medical Mycology 53:313-337; Massimo NC, et al. 2015. Microbial Ecology 70:61-76; Busby PE, et al. 2016. New Phytologist 209:1681-1692; David AS, et al. 2016. Microbial Ecology 71:912-926'"
"350","OTU1465",70,"d:Fungi","p:Basidiomycota","c:Microbotryomycetes","o:Sporidiobolales","f:Sporidiobolaceae","g:Rhodosporidiobolus","s:Rhodosporidiobolus_lusitaniae_SH1558744.08FU","Sporidiobolaceae","9","Pathotroph-Saprotroph","Animal Pathogen-Undefined Saprotroph","Microfungus","NULL","Probable","Saprobic, found in a wide range of habitats and especially in aquatic systems. Some of the red yeasts in this family are widely encountered spoilage organisms and opportunistic human pathogens (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"358","OTU1474",70,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"379","OTU1508",70,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"417","OTU1565",70,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"440","OTU1595",70,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"561","OTU1772",70,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"605","OTU1839",70,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2390","OTU693",70,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"439","OTU1594",69,"d:Fungi","p:Ascomycota","c:Leotiomycetes","o:Helotiales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"489","OTU1665",69,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2018","OTU453",69,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"501","OTU1684",68,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"786","OTU2138",68,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1009","OTU2501",68,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"389","OTU1526",67,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"401","OTU1542",67,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"425","OTU1575",67,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"244","OTU1310",66,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"418","OTU1566",66,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"437","OTU1591",66,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Chaetothyriales","f:Herpotrichiellaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"483","OTU1656",66,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"560","OTU1771",66,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Sporormiaceae","g:Preussia","s:Preussia_fleischhakii_SH1511530.08FU","Sporormiaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph","Microfungus","NULL","Probable","Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"578","OTU1799",66,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"994","OTU2476",66,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1030","OTU2536",66,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1585","OTU3711",66,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2079","OTU4642",66,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Phaeosphaeriaceae","g:Phaeosphaeria","UNKNOWN","Phaeosphaeriaceae","9","Pathotroph-Saprotroph","Fungal Parasite-Plant Pathogen-Plant Saprotroph","Microfungus","NULL","Probable","Necrotrophic or saprobic on a wide range of plants, especially monocotyledons; a few species parasitic on other fungi (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"426","OTU1576",65,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"434","OTU1588",65,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Entolomataceae","g:Entoloma","UNKNOWN","Entolomataceae","9","Pathotroph-Saprotroph-Symbiotroph","Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph","Agaricoid","NULL","Possible","Saprobic or ectomycorrhizal, in both broadleaved and coniferous forests; a few species associated with other substrata such as dung and mosses (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; List compiled by John Plischke III (http://home.comcast.net/~grifola/fungionfungi.pdf)'"
"436","OTU1590",65,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"750","OTU2080",65,"d:Fungi","p:Mortierellomycota","c:Mortierellomycetes","o:Mortierellales","f:Mortierellaceae","g:Mortierella","UNKNOWN","Mortierellaceae","9","Saprotroph-Symbiotroph","Endophyte-Litter Saprotroph-Soil Saprotroph-Undefined Saprotroph","Microfungus","NULL","Possible","Saprobic in soil and thus frequenctly isolated from soil and material contaminated with soil such as hay or rotten silage and spoil tips (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge; Purahong W, et al. 2016. Molecular Ecology 25:4059-4074'"
"383","OTU1513",64,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"534","OTU1728",64,"d:Fungi","p:Basidiomycota","c:Geminibasidiomycetes","o:Geminibasidiales","f:Geminibasidiaceae","g:Geminibasidium","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"557","OTU1768",64,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"1920","OTU4353",64,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","g:Tulostoma","UNKNOWN","Agaricaceae","9","Saprotroph","Undefined Saprotroph","Agaricoid-Gasteroid-Secotioid","NULL","Probable","Primarily saprobes in grassland and woodland situations (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"427","OTU1579",63,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"491","OTU1667",63,"d:Fungi","p:Ascomycota","c:Eurotiomycetes","o:Onygenales","f:Onygenaceae","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"549","OTU1752",63,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"664","OTU1939",63,"d:Fungi","p:Ascomycota","c:Saccharomycetes","o:Saccharomycetales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1114","OTU2723",63,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"351","OTU1466",62,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"409","OTU1551",62,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"441","OTU1597",62,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"456","OTU1617",62,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"522","OTU1710",62,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
