"","variable","Guild_comb","value","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","sampleID","project","Location","Spp","Rep","site_spp"
"29","fungi.Ecotone.BOER.8","Arbuscular Mycorrhizal",96.240713893024,"Ecotone_BOER_8",72,57.6,19.2,23.2,8.5,0,191,0.8,1.1,"E","Boer",8,2.39,127.67,29.14,1559.38,"215.34","11523.25",21.56,1153.93,"fungi.Ecotone.BOER.8","transitions","Ecotone","BOER",8,"E.Boer"
"30","fungi.Ecotone.BOER.8","Endophyte",22.1356935909177,"Ecotone_BOER_8",72,57.6,19.2,23.2,8.5,0,191,0.8,1.1,"E","Boer",8,2.39,127.67,29.14,1559.38,"215.34","11523.25",21.56,1153.93,"fungi.Ecotone.BOER.8","transitions","Ecotone","BOER",8,"E.Boer"
"31","fungi.Ecotone.BOER.8","Plant Pathogen",48.3169069684815,"Ecotone_BOER_8",72,57.6,19.2,23.2,8.5,0,191,0.8,1.1,"E","Boer",8,2.39,127.67,29.14,1559.38,"215.34","11523.25",21.56,1153.93,"fungi.Ecotone.BOER.8","transitions","Ecotone","BOER",8,"E.Boer"
"32","fungi.Ecotone.BOER.8","Saprotroph",127.9553655275,"Ecotone_BOER_8",72,57.6,19.2,23.2,8.5,0,191,0.8,1.1,"E","Boer",8,2.39,127.67,29.14,1559.38,"215.34","11523.25",21.56,1153.93,"fungi.Ecotone.BOER.8","transitions","Ecotone","BOER",8,"E.Boer"
"33","fungi.Ecotone.LATR.1","Arbuscular Mycorrhizal",165.739712879079,"Ecotone_LATR_1",73,61.6,23.2,15.2,8.5,1,191,0.7,1.4,"E","Latr",1,3.76,194.75,59.14,3064.45,"183.84","9525.28",45.22,2342.88,"fungi.Ecotone.LATR.1","transitions","Ecotone","LATR",1,"E.Latr"
"34","fungi.Ecotone.LATR.1","Endophyte",25.9923894207932,"Ecotone_LATR_1",73,61.6,23.2,15.2,8.5,1,191,0.7,1.4,"E","Latr",1,3.76,194.75,59.14,3064.45,"183.84","9525.28",45.22,2342.88,"fungi.Ecotone.LATR.1","transitions","Ecotone","LATR",1,"E.Latr"
"35","fungi.Ecotone.LATR.1","Plant Pathogen",52.8405754865121,"Ecotone_LATR_1",73,61.6,23.2,15.2,8.5,1,191,0.7,1.4,"E","Latr",1,3.76,194.75,59.14,3064.45,"183.84","9525.28",45.22,2342.88,"fungi.Ecotone.LATR.1","transitions","Ecotone","LATR",1,"E.Latr"
"36","fungi.Ecotone.LATR.1","Saprotroph",180.098020009572,"Ecotone_LATR_1",73,61.6,23.2,15.2,8.5,1,191,0.7,1.4,"E","Latr",1,3.76,194.75,59.14,3064.45,"183.84","9525.28",45.22,2342.88,"fungi.Ecotone.LATR.1","transitions","Ecotone","LATR",1,"E.Latr"
"37","fungi.Ecotone.LATR.2","Arbuscular Mycorrhizal",81.1617952356941,"Ecotone_LATR_2",74,67.6,19.2,13.2,8.3,0,199,1,2.1,"E","Latr",2,3.52,170.08,34.99,1692.05,"110.85","5360.3",35.03,1693.75,"fungi.Ecotone.LATR.2","transitions","Ecotone","LATR",2,"E.Latr"
"38","fungi.Ecotone.LATR.2","Endophyte",20.5659368101729,"Ecotone_LATR_2",74,67.6,19.2,13.2,8.3,0,199,1,2.1,"E","Latr",2,3.52,170.08,34.99,1692.05,"110.85","5360.3",35.03,1693.75,"fungi.Ecotone.LATR.2","transitions","Ecotone","LATR",2,"E.Latr"
"39","fungi.Ecotone.LATR.2","Plant Pathogen",28.7534843016143,"Ecotone_LATR_2",74,67.6,19.2,13.2,8.3,0,199,1,2.1,"E","Latr",2,3.52,170.08,34.99,1692.05,"110.85","5360.3",35.03,1693.75,"fungi.Ecotone.LATR.2","transitions","Ecotone","LATR",2,"E.Latr"
