OTU,PROTAX
OTU154,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU100,"Fungi,Ascomycota,Pezizomycetes,Pezizales,dummy_family_Oedocephalum,Oedocephalum_9138,unk"
OTU169,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk"
OTU218,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU127,"Fungi,Ascomycota,Sordariomycetes"
OTU106,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Psathyrella_18378,unk"
OTU69,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma_9358,unk"
OTU214,"Fungi,Basidiomycota,Agaricomycetes,Russulales,Stephanosporaceae,Lindtneria_17983,unk"
OTU193,"Fungi,Basidiomycota,Agaricomycetes"
OTU23,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Galeropsis_19127,unk"
OTU138,"Fungi,Ascomycota,dummy_class_Calcarisporiella"
OTU122,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinopsis_17366,unk"
OTU241,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma_9358,unk"
OTU194,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU124,"Fungi,Ascomycota,Sordariomycetes"
OTU123,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU139,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU197,"Fungi,Ascomycota,Eurotiomycetes"
OTU162,"Fungi,Ascomycota,unk"
OTU115,"Fungi,Ascomycota,Sordariomycetes"
OTU274,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU181,"Fungi,Ascomycota,Eurotiomycetes"
OTU196,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU156,"Fungi,Basidiomycota,Agaricomycetes"
OTU215,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Montagnula_3265,unk"
OTU140,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria_7106,unk"
OTU49,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Curvularia_7847,Curvularia_spicifera_278597"
OTU36,"Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Thanatephorus_18639,unk"
