"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU161" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU83" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU315" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU913" "d:Fungi" "p:Mortierellomycota" "c:Mortierellomycetes" "o:Mortierellales" "f:Mortierellaceae" "g:Mortierella" "UNKNOWN"
"OTU812" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU105" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU269" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Cantharellales" "f:Ceratobasidiaceae" "g:Thanatephorus" "UNKNOWN"
"OTU545" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU444" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU3704" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "g:Kamienskia" "s:Kamienskia_divaricata_SH640258.07FU"
"OTU261" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1932" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU39" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Bolbitiaceae" "g:Conocybe" "UNKNOWN"
"OTU208" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2600" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Cantharellales" "f:Ceratobasidiaceae" "UNKNOWN" "UNKNOWN"
"OTU11" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Cantharellales" "f:Ceratobasidiaceae" "UNKNOWN" "UNKNOWN"
"OTU234" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Corticiales" "f:Corticiaceae" "UNKNOWN" "UNKNOWN"
"OTU60" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU40" "d:Fungi" "p:Basidiomycota" "c:Malasseziomycetes" "o:Malasseziales" "f:Malasseziaceae" "g:Malassezia" "UNKNOWN"
"OTU57" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Aspergillus" "UNKNOWN"
"OTU653" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Sporormiaceae" "g:Preussia" "UNKNOWN"
"OTU27" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Agaricaceae" "g:Coprinus" "UNKNOWN"
"OTU77" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Entolomataceae" "g:Entoloma" "UNKNOWN"
"OTU267" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Strophariaceae" "g:Stropharia" "s:Stropharia_coronilla_SH177498.07FU"
"OTU28" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU73" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Eurotiales" "f:Aspergillaceae" "g:Penicillium" "s:Penicillium_aethiopicum_SH407737.07FU"
"OTU4376" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Crepidotaceae" "g:Crepidotus" "UNKNOWN"
"OTU370" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1263" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU2566" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU9" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU342" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "f:Chaetomiaceae" "UNKNOWN" "UNKNOWN"
"OTU132" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Agaricaceae" "g:Lepiota" "s:Lepiota_farinolens_SH029755.07FU"
"OTU10" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU65" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU847" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Chaetothyriales" "f:Herpotrichiellaceae" "g:Exophiala" "UNKNOWN"
"OTU4246" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU275" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU61" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU126" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU263" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Xylariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1584" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU45" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Agaricaceae" "g:Tulostoma" "UNKNOWN"
"OTU37" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Agaricaceae" "UNKNOWN" "UNKNOWN"
"OTU108" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Sporormiaceae" "g:Preussia" "s:Preussia_terricola_SH215534.07FU"
"OTU109" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU340" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU420" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU233" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Didymellaceae" "UNKNOWN" "UNKNOWN"
"OTU1052" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Lentitheciaceae" "g:Pleurophoma" "UNKNOWN"
"OTU144" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Cantharellales" "f:Ceratobasidiaceae" "UNKNOWN" "UNKNOWN"
"OTU200" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Xylariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU176" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "g:Kamienskia" "s:Kamienskia_divaricata_SH641510.07FU"
"OTU1041" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU4274" "d:Fungi" "p:Ascomycota" "c:Pezizomycetes" "o:Pezizales" "f:Ascobolaceae" "UNKNOWN" "UNKNOWN"
"OTU74" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Xylariales" "f:Xylariaceae" "UNKNOWN" "UNKNOWN"
"OTU19" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Hymenochaetales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU1714" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Chaetothyriales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU47" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Bolbitiaceae" "g:Conocybe" "s:Conocybe_deliquescens_SH179179.07FU"
"OTU471" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Hypocreales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU103" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "f:Chaetomiaceae" "g:Chaetomium" "UNKNOWN"
"OTU241" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU72" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Bolbitiaceae" "g:Conocybe" "s:Conocybe_sabulicola_SH176633.07FU"
"OTU580" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU455" "d:Fungi" "p:Glomeromycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU184" "d:Fungi" "p:Ascomycota" "c:Pezizomycetes" "o:Pezizales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU414" "d:Fungi" "p:Ascomycota" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU304" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "f:Lentitheciaceae" "g:Keissleriella" "UNKNOWN"
"OTU538" "d:Fungi" "p:Ascomycota" "c:Dothideomycetes" "o:Pleosporales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU554" "d:Fungi" "p:Ascomycota" "c:Eurotiomycetes" "o:Chaetothyriales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU102" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU99" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU358" "d:Fungi" "p:Basidiomycota" "c:Agaricomycetes" "o:Agaricales" "f:Agaricaceae" "UNKNOWN" "UNKNOWN"
"OTU107" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Hypocreales" "f:Stachybotryaceae" "UNKNOWN" "UNKNOWN"
"OTU475" "d:Fungi" "p:Chytridiomycota" "c:Spizellomycetes" "o:Spizellomycetales" "f:Spizellomycetaceae" "g:Spizellomyces" "s:Spizellomyces_acuminatus_SH183654.07FU"
"OTU246" "d:Fungi" "p:Glomeromycota" "c:Glomeromycetes" "o:Glomerales" "f:Glomeraceae" "UNKNOWN" "UNKNOWN"
"OTU118" "d:Fungi" "p:Ascomycota" "c:Leotiomycetes" "o:Leotiomycetes_ord_Incertae_sedis" "f:Pseudeurotiaceae" "UNKNOWN" "UNKNOWN"
"OTU723" "d:Fungi" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU560" "d:Fungi" "p:Ascomycota" "c:Orbiliomycetes" "o:Orbiliales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU148" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "o:Sordariales" "UNKNOWN" "UNKNOWN" "UNKNOWN"
"OTU643" "d:Fungi" "p:Ascomycota" "c:Sordariomycetes" "UNKNOWN" "UNKNOWN" "UNKNOWN" "UNKNOWN"
